District Name,District Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Veritas Preparatory Charter School (District),4980000,93,12.2,36.5,22.2,22.4
Wachusett,7750000,94.4,9.2,26.3,16.2,0
Wakefield,3050000,94.9,8.5,29,13.6,1.8
Wales,3060000,96.8,5.3,16.9,4.6,10
Walpole,3070000,95.3,8,23.4,11.1,5.1
Waltham,3080000,93.4,10.6,30.1,20.1,9.7
Ware,3090000,90,15.9,50.1,35.9,10.8
Wareham,3100000,92,13.1,42.2,26.8,0.4
Watertown,3140000,95.5,7.6,21.5,11.7,3
Wayland,3150000,90.7,15.6,39,34.9,0.3
Webster,3160000,90.1,15.9,46.7,33.2,0.6
Wellesley,3170000,98.2,3,5.9,2.2,0
Wellfleet,3180000,93.5,10.8,43,21.5,19.6
West Boylston,3220000,95.2,8,24,10.7,7.7
West Bridgewater,3230000,96.3,6.2,18.3,6.5,3
West Springfield,3320000,93.6,10.4,28.5,18.4,0
Westborough,3210000,92.8,12.1,38.2,18.5,3
Westfield,3250000,94.2,9.5,28.9,17.6,16.1
Westford,3260000,97.1,4.8,12.8,5.3,0.4
Westhampton,3270000,95.6,7.3,22.5,12.6,0
Weston,3300000,97.2,4.8,12.5,4,3.3
Westport,3310000,94.5,9.2,29.3,15.8,4.8
Westwood,3350000,97.6,4,9.2,3.2,2.3
Weymouth,3360000,92.3,12.4,34.4,23.1,8.1
Whately,3370000,96.2,6.3,17.6,5.9,1.7
Whitman-Hanson,7800000,94.5,9,27.7,13.6,8.6
Whittier Regional Vocational Technical,8850000,94.7,8.8,32.5,13.1,9.1
Williamsburg,3400000,95.7,7,21.1,12.2,0
Wilmington,3420000,95.5,7.5,23.2,12,4.7
Winchendon,3430000,92.8,11.4,33.3,22.1,9.8
Winchester,3440000,96.9,5.1,14.2,5.6,4.1
Winthrop,3460000,94.6,9,29.3,13.6,1.8
Woburn,3470000,92,13.1,38,25,10.2
Worcester,3480000,95.3,7.6,22.9,14.9,22.2
Worthington,3490000,95.5,7.4,25.4,7.9,0
Wrentham,3500000,97.5,4,9.6,4.2,0.6
State Totals,0,93.7,10.6,29.9,17.7,8
