District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Nauset,6600000,163,564,,534
Needham,1990000,357,629,,645
Neighborhood House Charter (District),4440000,94,440,,448
New Bedford,2010000,27,516,,490
New Heights Charter School of Brockton (District),35130000,6,,,
Newburyport,2040000,182,581,,583
Newton,2070000,926,639,,657
Norfolk County Agricultural,9150000,58,541,,506
North Adams,2090000,4,,,
North Andover,2110000,500,576,,567
North Attleborough,2120000,232,588,,585
North Brookfield,2150000,12,579,,563
North Middlesex,7350000,197,568,,548
North Reading,2170000,251,575,,571
Northampton,2100000,145,616,,596
Northampton-Smith Vocational Agricultural,4060000,4,,,
Northboro-Southboro,7300000,543,604,,615
Northbridge,2140000,53,561,,542
Northeast Metropolitan Regional Vocational Technical,8530000,57,484,,462
Northern Berkshire Regional Vocational Technical,8510000,21,528,,480
Norton,2180000,103,577,,549
Norwell,2190000,239,601,,581
Norwood,2200000,199,556,,562
Old Colony Regional Vocational Technical,8550000,10,564,,543
Old Rochester,7400000,99,593,,583
Oxford,2260000,78,521,,506
Palmer,2270000,9,,,
Pathfinder Regional Vocational Technical,8600000,3,,,
Paulo Freire Social Justice Charter School (District),35010000,4,,,
Peabody,2290000,169,537,,530
Pembroke,2310000,157,573,,561
Pentucket,7450000,198,581,,572
Pioneer Charter School of Science (District),4940000,13,580,,608
Pioneer Charter School of Science II (PCSS-II) (District),35060000,26,548,,612
Pioneer Valley,7500000,42,539,,507
Pioneer Valley Chinese Immersion Charter (District),4970000,57,624,,606
Pioneer Valley Performing Arts Charter Public (District),4790000,14,621,,556
Pittsfield,2360000,143,533,,516
Plymouth,2390000,691,528,,521
Prospect Hill Academy Charter (District),4870000,38,510,,507
Quabbin,7530000,50,569,,577
Quaboag Regional,7780000,18,583,,552
Quincy,2430000,367,567,,578
Ralph C Mahar,7550000,1,,,
Randolph,2440000,25,564,,580
Reading,2460000,470,581,,588
Revere,2480000,308,516,,525
Rising Tide Charter Public (District),4830000,84,572,,550
Rockland,2510000,86,526,,521
Rockport,2520000,29,603,,589
Roxbury Preparatory Charter (District),4840000,29,416,,435
Sabis International Charter (District),4410000,6,,,
Salem,2580000,61,531,,511
Salem Academy Charter (District),4850000,89,519,,497
Sandwich,2610000,75,565,,559
Saugus,2620000,56,532,,529
Scituate,2640000,379,577,,552
Seekonk,2650000,128,565,,546
Sharon,2660000,312,651,,667
Shawsheen Valley Regional Vocational Technical,8710000,185,523,,504
Shrewsbury,2710000,504,609,,630
Silver Lake,7600000,202,587,,589
Sizer School: A North Central Charter Essential (District),4740000,18,563,,548
Somerset Berkley Regional School District,7630000,195,569,,568
Somerville,2740000,90,580,,575
South Hadley,2780000,86,554,,550
South Middlesex Regional Vocational Technical,8290000,14,586,,587
South Shore Charter Public (District),4880000,123,517,,489
South Shore Regional Vocational Technical,8730000,17,528,,522
Southbridge,2770000,6,,,
Southeastern Regional Vocational Technical,8720000,22,515,,491
Southern Berkshire,7650000,29,568,,525
Southern Worcester County Regional Vocational Technical,8760000,86,537,,527
Southwick-Tolland-Granville Regional School District,7660000,40,542,,540
Spencer-E Brookfield,7670000,8,,,
Springfield,2810000,579,471,,467
Stoneham,2840000,83,549,,554
Stoughton,2850000,76,554,,555
Sturgis Charter Public (District),4890000,98,587,,572
Sutton,2900000,97,562,,546
Swampscott,2910000,128,606,,596
Swansea,2920000,101,564,,547
TEC Connections Academy Commonwealth Virtual School District,39020000,39,585,,555
Tantasqua,7700000,142,575,,596
Taunton,2930000,211,538,,514
Tewksbury,2950000,196,552,,545
Tri-County Regional Vocational Technical,8780000,38,538,,520
Triton,7730000,63,595,,585
Tyngsborough,3010000,155,557,,573
Upper Cape Cod Regional Vocational Technical,8790000,17,492,,462
Uxbridge,3040000,113,541,,519
Wachusett,7750000,514,582,,581
Wakefield,3050000,248,565,,561
Walpole,3070000,291,587,,569
Waltham,3080000,204,564,,555
Ware,3090000,27,512,,534
Wareham,3100000,9,,,
Watertown,3140000,144,559,,568
Wayland,3150000,214,645,,657
Webster,3160000,23,523,,509
Wellesley,3170000,337,657,,670
West Boylston,3220000,43,570,,536
West Bridgewater,3230000,111,543,,542
West Springfield,3320000,62,568,,547
Westborough,3210000,343,625,,639
Westfield,3250000,87,559,,554
Westford,3260000,403,632,,654
Weston,3300000,156,638,,657
Westport,3310000,29,521,,490
Westwood,3350000,339,607,,631
Weymouth,3360000,110,548,,538
Whitman-Hanson,7800000,273,531,,524
Whittier Regional Vocational Technical,8850000,35,549,,527
Wilmington,3420000,70,592,,580
Winchendon,3430000,30,554,,527
Winchester,3440000,449,627,,643
Winthrop,3460000,50,559,,552
Woburn,3470000,220,536,,536
Worcester,3480000,643,518,,521
State Totals,0,"43,337",576,,576
