District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Greater New Bedford Regional Vocational Technical,8250000,503,94.8,1.4,0,0,3.6,0.2
Greenfield,1140000,91,84.6,7.7,0,1.1,6.6,0
Greenfield Commonwealth Virtual District,39010000,124,47.6,18.5,0,7.3,26.6,0
Groton-Dunstable,6730000,194,97.9,2.1,0,0,0,0
Hadley,1170000,45,93.3,2.2,0,0,4.4,0
Hamilton-Wenham,6750000,144,97.2,0.7,0.7,0,1.4,0
Hampden Charter School of Science East (District),4990000,55,94.5,1.8,0,0,3.6,0
Hampden-Wilbraham,6800000,246,97.2,0.8,0,0.8,1.2,0
Hampshire,6830000,102,96.1,1,0,0,2.9,0
Hanover,1220000,212,98.6,1.4,0,0,0,0
Harvard,1250000,99,99,1,0,0,0,0
Hatfield,1270000,25,96,0,0,0,4,0
Haverhill,1280000,520,81.3,9.6,0.4,0.8,7.9,0
Hingham,1310000,319,95.3,2.8,0,0.6,1.3,0
Holbrook,1330000,69,87,1.4,1.4,1.4,8.7,0
Holliston,1360000,204,94.1,4.9,0,0,1,0
Holyoke,1370000,419,76.4,10.3,0.2,0.5,12.6,0
Hoosac Valley Regional,6030000,47,83,6.4,0,0,10.6,0
Hopedale,1380000,75,94.7,2.7,1.3,0,1.3,0
Hopkinton,1390000,329,99.4,0.3,0.3,0,0,0
Hudson,1410000,172,83.1,5.2,0,0,11.6,0
Hull,1420000,74,90.5,4.1,0,2.7,2.7,0
Innovation Academy Charter (District),4350000,98,88.8,6.1,0,2,3.1,0
Ipswich,1440000,142,93.7,4.2,0,2.1,0,0
King Philip,6900000,307,94.8,3.6,0.3,0,1.3,0
KIPP Academy Lynn Charter (District),4290000,120,97.5,0.8,0,0,1.7,0
Lawrence,1490000,896,78.5,12.3,1,0.4,7.8,0
Lee,1500000,66,93.9,1.5,0,0,4.5,0
Leicester,1510000,101,91.1,4,0,0,5,0
Lenox,1520000,61,96.7,3.3,0,0,0,0
Leominster,1530000,474,95.6,2.7,0.4,0,1.3,0
Lexington,1550000,544,96.9,2,0,0,1.1,0
Lincoln-Sudbury,6950000,391,96.7,2.6,0,0,0.8,0
Littleton,1580000,112,94.6,2.7,0,0.9,1.8,0
Longmeadow,1590000,222,99.1,0.5,0,0,0.5,0
Lowell,1600000,866,80,10,0.7,0.2,9,0
Lowell Middlesex Academy Charter (District),4580000,29,17.2,51.7,0,0,31,0
Ludlow,1610000,211,93.4,0.9,0,0.9,4.7,0
Lunenburg,1620000,114,94.7,2.6,0.9,0,1.8,0
Lynn,1630000,"1,198",84.1,5.3,0.4,0.3,10,0
Lynnfield,1640000,168,98.8,1.2,0,0,0,0
Ma Academy for Math and Science,4680000,49,98,2,0,0,0,0
Malden,1650000,473,81,7.2,0.8,0.4,10.6,0
Manchester Essex Regional,6980000,132,93.9,3.8,0.8,0,1.5,0
Mansfield,1670000,331,96.4,1.8,0,0,1.8,0
Map Academy Charter School (District),35170000,60,25,70,0,0,5,0
Marblehead,1680000,258,95.3,3.5,0,0.8,0.4,0
Marlborough,1700000,286,86.4,4.5,0.3,0.7,8,0
Marshfield,1710000,312,96.2,2.6,0,0,1.3,0
Martha's Vineyard,7000000,178,90.4,4.5,1.1,0.6,3.4,0
Martha's Vineyard Charter (District),4660000,8,62.5,12.5,0,0,25,0
Masconomet,7050000,288,95.1,3.1,0,0.3,1.4,0
Mashpee,1720000,120,97.5,1.7,0,0,0.8,0
MATCH Charter Public School (District),4690000,70,95.7,1.4,0,0,2.9,0
Maynard,1740000,86,84.9,5.8,0,2.3,7,0
Medfield,1750000,201,96.5,1.5,0,0,2,0
Medford,1760000,302,92.4,2.6,0,0,5,0
Medway,1770000,158,96.8,1.9,0,0,1.3,0
Melrose,1780000,241,96.7,1.7,0,0.4,1.2,0
Mendon-Upton,7100000,163,93.9,2.5,0,0.6,3.1,0
Methuen,1810000,489,91,3.3,0.8,0,4.9,0
Middleborough,1820000,194,94.8,3.1,0,0,2.1,0
Milford,1850000,309,81.9,6.8,0,0.3,11,0
Millbury,1860000,127,89,2.4,2.4,0,6.3,0
Millis,1870000,92,95.7,2.2,0,1.1,1.1,0
Milton,1890000,284,94.4,4.6,0,0.4,0.7,0
Minuteman Regional Vocational Technical,8300000,147,90.5,4.1,0,0.7,4.8,0
Mohawk Trail,7170000,60,85,3.3,0,0,11.7,0
Monomoy Regional School District,7120000,117,95.7,2.6,0,0.9,0.9,0
Monson,1910000,62,90.3,4.8,1.6,0,3.2,0
Montachusett Regional Vocational Technical,8320000,342,97.4,2.3,0,0,0.3,0
Mount Greylock,7150000,89,94.4,4.5,0,0,1.1,0
Mystic Valley Regional Charter (District),4700000,86,98.8,0,0,0,1.2,0
Nantucket,1970000,116,91.4,5.2,1.7,0,1.7,0
Narragansett,7200000,60,86.7,3.3,0,0,10,0
Nashoba,7250000,239,96.2,2.9,0,0,0.8,0
Nashoba Valley Regional Vocational Technical,8520000,177,95.5,2.8,0,0,1.7,0
Natick,1980000,414,94.9,3.4,0,0.5,1.2,0
Nauset,6600000,244,91,4.9,0,0.8,3.3,0
Needham,1990000,430,97.4,1.9,0,0.5,0.2,0
Neighborhood House Charter (District),4440000,63,77.8,15.9,0,1.6,4.8,0
New Bedford,2010000,596,79.5,5.7,1.5,0,13.3,0
New Heights Charter School of Brockton (District),35130000,95,83.2,6.3,0,0,10.5,0
Newburyport,2040000,212,93.4,2.8,0,0,3.8,0
Newton,2070000,"1,009",95.7,3.2,0,0.1,1,0
Norfolk County Agricultural,9150000,130,98.5,0,0,0,1.5,0
North Adams,2090000,92,81.5,7.6,1.1,0,9.8,0
North Andover,2110000,379,97.1,1.8,0,0.3,0.8,0
North Attleborough,2120000,270,94.1,3,0.4,0,2.6,0
North Brookfield,2150000,31,80.6,6.5,0,3.2,9.7,0
North Middlesex,7350000,220,90.9,4.5,0.5,0,4.1,0
North Reading,2170000,192,96.9,2.1,0,0,1,0
Northampton,2100000,231,94.4,3,0,0.4,2.2,0
Northampton-Smith Vocational Agricultural,4060000,124,95.2,0,0,0,4.8,0
Northboro-Southboro,7300000,390,97.9,1.3,0,0,0.8,0
Northbridge,2140000,130,84.6,3.1,0.8,1.5,10,0
Northeast Metropolitan Regional Vocational Technical,8530000,303,98.3,0.7,0,0,0.7,0.3
Northern Berkshire Regional Vocational Technical,8510000,115,93,2.6,0,0,4.3,0
Norton,2180000,189,95.2,1.6,0,0,3.2,0
Norwell,2190000,168,98.2,1.2,0,0,0.6,0
Norwood,2200000,250,95.2,2.8,0.4,0,1.6,0
Old Colony Regional Vocational Technical,8550000,130,99.2,0,0,0,0.8,0
Old Rochester,7400000,192,94.8,2.1,0,0,3.1,0
Oxford,2260000,101,86.1,5,1,0,7.9,0
Palmer,2270000,83,92.8,4.8,0,0,2.4,0
Pathfinder Regional Vocational Technical,8600000,147,89.1,6.8,0,0,4.1,0
Paulo Freire Social Justice Charter School (District),35010000,69,76.8,18.8,0,0,4.3,0
Peabody,2290000,375,84.8,8,0.3,0,6.9,0
Pembroke,2310000,208,94.2,5.3,0,0,0.5,0
Pentucket,7450000,197,95.9,1.5,0,0,2.5,0
Phoenix Academy Public Charter High School Lawrence (District),35180000,50,6,60,0,0,34,0
Phoenix Academy Public Charter High School Springfield (District),35080000,83,3.6,37.3,0,0,59,0
Phoenix Charter Academy (District),4930000,72,8.3,40.3,0,0,51.4,0
Pioneer Charter School of Science (District),4940000,51,98,2,0,0,0,0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,51,98,2,0,0,0,0
Pioneer Valley,7500000,50,100,0,0,0,0,0
Pioneer Valley Chinese Immersion Charter (District),4970000,29,96.6,0,0,0,3.4,0
Pioneer Valley Performing Arts Charter Public (District),4790000,60,93.3,1.7,0,3.3,1.7,0
Pittsfield,2360000,432,88,3,0,0.7,8.3,0
Plymouth,2390000,587,95.4,2.2,0,0,2.4,0
Prospect Hill Academy Charter (District),4870000,72,94.4,4.2,0,0,1.4,0
Quabbin,7530000,166,86.1,8.4,0,0,5.4,0
Quaboag Regional,7780000,97,90.7,5.2,1,1,2.1,0
Quincy,2430000,765,91,5.4,0.8,0.3,2.6,0
Ralph C Mahar,7550000,102,90.2,4.9,0,0,4.9,0
Randolph,2440000,193,76.2,9.8,3.6,0,10.4,0
Reading,2460000,332,96.7,2.7,0,0,0.6,0
Revere,2480000,554,83.6,5.8,0,0.4,10.3,0
Rising Tide Charter Public (District),4830000,66,98.5,0,0,0,1.5,0
Rockland,2510000,137,90.5,3.6,0,0,5.8,0
Rockport,2520000,69,92.8,2.9,0,0,4.3,0
Roxbury Preparatory Charter (District),4840000,104,88.5,5.8,0,0,5.8,0
Sabis International Charter (District),4410000,99,97,1,0,0,2,0
Salem,2580000,288,78.5,7.6,1,0.3,12.5,0
Salem Academy Charter (District),4850000,59,98.3,1.7,0,0,0,0
Sandwich,2610000,160,95,1.9,0,0,3.1,0
Saugus,2620000,183,85.2,7.7,1.1,0.5,5.5,0
Scituate,2640000,255,95.7,3.9,0,0,0.4,0
Seekonk,2650000,157,93,3.2,0,0.6,3.2,0
Sharon,2660000,275,92,5.1,0.4,1.1,1.5,0
Shawsheen Valley Regional Vocational Technical,8710000,311,98.1,1.3,0,0,0.6,0
Shrewsbury,2710000,468,97.2,1.5,0,0,1.3,0
Silver Lake,7600000,268,96.6,0.4,0,0.4,2.6,0
Sizer School: A North Central Charter Essential (District),4740000,49,100,0,0,0,0,0
Somerset Berkley Regional School District,7630000,239,96.7,1.7,0,0,1.7,0
Somerville,2740000,297,86.9,7.1,0,0,6.1,0
South Hadley,2780000,146,96.6,2.1,0,0,1.4,0
South Middlesex Regional Vocational Technical,8290000,186,91.4,2.2,1.1,0,5.4,0
South Shore Charter Public (District),4880000,78,92.3,6.4,0,0,1.3,0
South Shore Regional Vocational Technical,8730000,157,94.9,0.6,0,0,4.5,0
Southbridge,2770000,116,55.2,11.2,3.4,0,30.2,0
Southeastern Regional Vocational Technical,8720000,361,98.9,0.6,0,0,0.6,0
Southern Berkshire,7650000,51,92.2,2,0,0,5.9,0
Southern Worcester County Regional Vocational Technical,8760000,268,98.1,0.7,0,0.4,0.7,0
Southwick-Tolland-Granville Regional School District,7660000,104,93.3,1,0,1,4.8,0
Spencer-E Brookfield,7670000,63,87.3,3.2,0,1.6,7.9,0
Springfield,2810000,"1,705",84,7.3,0.1,0.2,8.5,0
Stoneham,2840000,189,91.5,3.7,0,0.5,4.2,0
Stoughton,2850000,270,90.4,3.3,0.4,0.4,5.6,0
Sturgis Charter Public (District),4890000,197,98,0.5,0,0,1.5,0
Sutton,2900000,84,96.4,1.2,0,0,2.4,0
Swampscott,2910000,190,92.6,4.7,0.5,0,2.1,0
Swansea,2920000,134,98.5,0.7,0,0,0.7,0
Tantasqua,7700000,291,96.2,1.7,0,0.3,1.7,0
Taunton,2930000,560,90.2,5,0.2,0.4,4.3,0
TEC Connections Academy Commonwealth Virtual School District,39020000,503,47.9,11.9,0.2,4.8,35,0.2
Tewksbury,2950000,228,93.9,4.4,0,0,1.8,0
Tri-County Regional Vocational Technical,8780000,220,98.2,0.9,0,0.5,0.5,0
Triton,7730000,163,89,5.5,1.2,0,4.3,0
Tyngsborough,3010000,117,94.9,2.6,0.9,0,1.7,0
Upper Cape Cod Regional Vocational Technical,8790000,172,100,0,0,0,0,0
Uxbridge,3040000,145,80,10.3,1.4,2.1,6.2,0
Wachusett,7750000,520,94.4,3.5,0,0.2,1.9,0
Wakefield,3050000,256,96.1,2,0.4,0,1.6,0
Walpole,3070000,283,93.6,3.9,0,0.4,2.1,0
Waltham,3080000,440,81.8,6.6,0,0.7,10.9,0
Ware,3090000,72,73.6,15.3,0,0,11.1,0
Wareham,3100000,105,61.9,19,1,0,18.1,0
Watertown,3140000,194,87.6,4.6,0,1,6.7,0
Wayland,3150000,232,98.3,0.9,0.4,0,0.4,0
Webster,3160000,116,63.8,18.1,0,2.6,15.5,0
Wellesley,3170000,391,96.7,3.1,0,0,0.3,0
West Boylston,3220000,69,94.2,4.3,0,0,1.4,0
West Bridgewater,3230000,107,96.3,2.8,0,0,0.9,0
West Springfield,3320000,310,89.7,4.5,0,0.3,5.5,0
Westborough,3210000,319,97.2,1.9,0,0,0.9,0
Westfield,3250000,434,93.3,3,0.5,0.2,3,0
Westford,3260000,450,97.1,2.2,0,0,0.7,0
Weston,3300000,167,98.2,1.8,0,0,0,0
Westport,3310000,92,87,3.3,2.2,0,7.6,0
Westwood,3350000,246,98,2,0,0,0,0
Weymouth,3360000,460,88.9,7.2,0.2,0.2,3.5,0
Whitman-Hanson,7800000,295,89.8,6.4,0.3,0,3.4,0
Whittier Regional Vocational Technical,8850000,270,98.5,0,0,0.4,1.1,0
Wilmington,3420000,199,95,2.5,0.5,0,2,0
Winchendon,3430000,80,68.8,16.3,0,1.3,13.8,0
Winchester,3440000,370,97.8,1.9,0,0,0.3,0
Winthrop,3460000,155,91,0,2.6,1.3,5.2,0
Woburn,3470000,327,90.5,5.8,0,0,3.7,0
Worcester,3480000,"1,886",88,6.2,0.1,0.3,5.4,0
State Totals,0,"74,226",89.8,5.1,0.3,0.3,4.6,0
