District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,12,All Grades,Total Students
Lawrence,1490000,219,262,268,341,378,593,597,521,525,735,54,380,328,"5,201","12,740"
Lawrence Family Development Charter (District),4540000,80,81,83,84,81,80,77,74,75,,,,,715,715
Learning First Charter Public School (District),4860000,73,75,74,74,75,80,74,69,72,,,,,666,666
Lee,1500000,36,38,47,47,45,40,48,34,40,32,41,35,49,532,659
Leicester,1510000,78,93,92,115,93,90,96,123,103,99,45,64,49,"1,140","1,354"
Lenox,1520000,45,45,50,47,53,50,59,60,58,41,37,44,37,626,726
Leominster,1530000,350,410,381,405,409,442,490,475,469,66,52,73,164,"4,186","5,877"
Leverett,1540000,16,15,15,20,18,13,21,,,,,,,118,118
Lexington,1550000,314,412,480,511,533,550,573,594,620,468,503,454,453,"6,465","6,884"
Libertas Academy Charter School (District),35140000,,,,,,,0,0,0,,,,,0,262
Lincoln,1570000,95,115,136,109,108,85,104,98,87,,,,,937,937
Lincoln-Sudbury,6950000,,,,,,,,,,299,287,243,219,"1,048","1,516"
Littleton,1580000,0,0,0,130,110,125,131,121,113,88,84,54,75,"1,031","1,530"
Longmeadow,1590000,152,185,205,192,201,198,204,239,224,108,103,100,84,"2,195","2,704"
Lowell,1600000,"1,092","1,125","1,242","1,124","1,192","1,042","1,170","1,169","1,142",154,212,262,279,"11,205","13,857"
Lowell Community Charter Public (District),4560000,96,92,90,84,87,80,83,76,68,,,,,756,756
Lowell Middlesex Academy Charter (District),4580000,,,,,,,,,,23,14,19,24,80,81
Ludlow,1610000,135,151,147,145,163,171,140,195,42,146,135,137,55,"1,762","2,352"
Lunenburg,1620000,105,105,131,110,110,123,128,138,123,32,64,83,74,"1,326","1,557"
Lynn,1630000,803,934,"1,022",899,776,889,623,490,276,445,448,356,259,"8,220","12,682"
Lynnfield,1640000,171,159,167,191,158,195,181,161,160,87,55,41,63,"1,789","2,146"
MATCH Charter Public School (District),4690000,93,94,99,97,96,94,91,96,89,84,77,0,0,"1,010","1,168"
Ma Academy for Math and Science,4680000,,,,,,,,,,,,0,9,9,92
Malden,1650000,424,445,438,445,472,472,507,481,490,146,143,150,169,"4,782","5,969"
Manchester Essex Regional,6980000,57,80,72,86,86,74,94,107,124,76,65,55,34,"1,010","1,260"
Mansfield,1670000,224,216,225,238,252,267,248,265,266,229,216,111,180,"2,937","3,425"
Map Academy Charter School (District),35170000,,,,,,,,,,7,4,8,1,20,192
Marblehead,1680000,139,158,181,194,200,195,202,194,226,151,109,85,114,"2,148","2,672"
Marblehead Community Charter Public (District),4640000,,,,,49,50,54,31,24,,,,,208,211
Marion,1690000,40,52,54,51,50,58,59,,,,,,,364,387
Marlborough,1700000,79,440,418,388,398,420,363,366,392,70,101,62,88,"3,585","4,698"
Marshfield,1710000,239,238,209,242,270,252,272,273,299,134,157,111,115,"2,811","3,695"
Martha's Vineyard,7000000,,,,,,,,,,127,101,63,74,365,673
Martha's Vineyard Charter (District),4660000,0,10,16,16,11,20,18,14,0,6,6,17,5,139,166
Martin Luther King Jr. Charter School of Excellence (District),4920000,66,58,60,57,61,58,,,,,,,,360,360
Masconomet,7050000,,,,,,,,316,263,151,107,104,110,"1,051","1,698"
Mashpee,1720000,94,95,91,110,101,120,123,115,105,31,43,44,50,"1,122","1,465"
Mattapoisett,1730000,50,50,62,54,58,60,54,,,,,,,388,389
Maynard,1740000,80,97,84,105,87,74,52,68,67,45,38,55,38,890,"1,127"
Medfield,1750000,165,186,192,191,190,210,187,177,177,138,171,78,98,"2,160","2,460"
Medford,1760000,283,275,274,289,299,296,305,310,279,121,149,124,101,"3,105","3,888"
Medway,1770000,144,153,146,148,148,168,156,178,172,124,131,66,112,"1,846","2,063"
Melrose,1780000,297,289,302,312,315,292,267,262,233,133,100,99,101,"3,002","3,547"
Mendon-Upton,7100000,140,152,155,161,141,112,86,140,170,73,61,72,86,"1,549","2,109"
Methuen,1810000,402,479,478,498,489,505,516,545,586,229,312,280,270,"5,589","6,448"
Middleborough,1820000,196,209,210,228,218,213,227,257,268,162,87,87,61,"2,423","2,866"
Middleton,1840000,95,88,101,79,85,81,89,,,,,,,618,618
Milford,1850000,306,309,285,314,331,341,319,344,341,199,187,144,134,"3,554","4,205"
Millbury,1860000,93,122,119,126,94,117,132,68,97,82,75,53,84,"1,262","1,531"
Millis,1870000,0,84,80,102,83,83,105,77,93,67,33,32,63,902,"1,122"
Milton,1890000,301,356,361,381,388,342,292,193,191,200,188,172,178,"3,543","4,219"
Minuteman Regional Vocational Technical,8300000,,,,,,,,,,141,95,79,64,379,627
Mohawk Trail,7170000,43,50,59,64,59,63,67,0,0,2,9,11,22,449,693
Monomoy Regional School District,7120000,92,87,88,123,125,145,67,39,99,63,51,56,86,"1,121","1,737"
Monson,1910000,62,69,62,59,68,71,71,66,57,10,19,40,29,683,805
Montachusett Regional Vocational Technical,8320000,,,,,,,,,,22,22,20,21,85,"1,401"
Mount Greylock,7150000,58,62,85,72,89,89,87,19,28,86,59,47,50,831,"1,057"
Mystic Valley Regional Charter (District),4700000,167,157,148,148,121,123,120,147,123,0,0,8,6,"1,268","1,609"
Nahant,1960000,29,21,13,16,17,18,16,,,,,,,130,136
Nantucket,1970000,113,120,112,113,88,116,142,140,0,118,122,107,87,"1,378","1,625"
Narragansett,7200000,0,0,0,0,0,104,115,120,88,44,45,45,33,594,"1,289"
Nashoba,7250000,218,200,214,225,237,234,265,247,263,170,132,167,159,"2,731","3,026"
Nashoba Valley Regional Vocational Technical,8520000,,,,,,,,,,83,72,82,79,316,730
Natick,1980000,348,388,413,394,414,427,431,412,403,338,253,185,267,"4,673","5,185"
Nauset,6600000,,,,,,,169,165,157,142,113,98,115,959,"1,432"
Needham,1990000,0,407,433,436,437,449,391,441,421,390,365,332,191,"4,693","5,463"
Neighborhood House Charter (District),4440000,36,39,41,43,43,62,68,73,80,40,49,43,27,644,761
New Bedford,2010000,972,"1,030","1,063","1,049","1,159","1,050",899,874,950,719,550,463,363,"11,141","12,300"
New Heights Charter School of Brockton (District),35130000,,,,,,,0,0,0,0,0,15,18,33,744
New Salem-Wendell,7280000,15,17,21,18,17,17,15,,,,,,,120,120
Newburyport,2040000,96,133,130,107,133,136,156,165,166,160,149,101,79,"1,711","2,095"
Newton,2070000,693,814,845,861,924,904,990,912,954,517,569,502,411,"9,896","11,895"
Norfolk,2080000,163,122,132,122,136,144,113,,,,,,,932,932
Norfolk County Agricultural,9150000,,,,,,,,,,0,0,0,0,0,586
North Adams,2090000,95,95,102,103,101,92,81,51,111,46,34,39,29,979,"1,211"
North Andover,2110000,288,329,347,337,340,350,362,364,350,178,211,228,252,"3,936","4,476"
North Attleborough,2120000,258,264,279,277,320,331,277,323,386,164,194,186,163,"3,422","3,822"
North Brookfield,2150000,42,41,31,39,41,33,36,40,25,31,12,12,16,399,488
North Middlesex,7350000,226,209,219,220,214,228,228,252,287,160,141,161,168,"2,713","2,893"
North Reading,2170000,172,199,144,176,169,194,162,182,168,41,93,73,151,"1,924","2,265"
Northampton,2100000,0,181,186,189,197,161,194,187,208,107,181,126,115,"2,032","2,573"
Northampton-Smith Vocational Agricultural,4060000,,,,,,,,,,144,139,6,9,298,535
Northboro-Southboro,7300000,,,,,,,,,,171,165,105,208,649,"1,349"
Northborough,2130000,149,170,160,163,176,195,175,154,176,,,,,"1,518","1,535"
Northbridge,2140000,151,146,117,127,148,149,153,190,126,107,118,113,101,"1,746","1,898"
Northeast Metropolitan Regional Vocational Technical,8530000,,,,,,,,,,0,21,22,16,59,"1,292"
Northern Berkshire Regional Vocational Technical,8510000,,,,,,,,,,0,0,0,0,0,501
Norton,2180000,173,161,148,177,176,169,178,186,173,95,114,99,130,"1,979","2,308"
Norwell,2190000,140,188,161,174,165,176,163,159,179,121,120,102,72,"1,920","2,182"
Norwood,2200000,0,261,261,262,280,260,245,211,215,116,139,113,95,"2,458","3,317"
Oak Bluffs,2210000,44,31,41,29,45,55,52,50,53,,,,,400,430
Old Colony Regional Vocational Technical,8550000,,,,,,,,,,10,14,14,14,52,555
Old Rochester,7400000,,,,,,,,204,211,99,81,96,115,806,"1,130"
Old Sturbridge Academy Charter Public School (District),35150000,0,0,0,0,0,0,0,,,,,,,0,280
Orange,2230000,0,0,0,0,0,0,0,,,,,,,0,460
Orleans,2240000,19,26,29,30,35,37,,,,,,,,176,176
Oxford,2260000,69,103,113,99,142,120,117,83,131,94,71,55,59,"1,256","1,447"
Palmer,2270000,84,77,95,105,104,78,92,75,99,42,47,40,49,987,"1,178"
Pathfinder Regional Vocational Technical,8600000,,,,,,,,,,0,0,20,43,63,602
Paulo Freire Social Justice Charter School (District),35010000,,,,,,,,,,58,48,44,19,169,250
Peabody,2290000,407,463,468,431,446,445,314,357,323,189,164,126,201,"4,334","5,613"
Pelham,2300000,18,13,13,13,18,13,14,,,,,,,102,102
Pembroke,2310000,167,162,179,189,182,205,216,191,218,128,97,102,155,"2,191","2,551"
Pentucket,7450000,140,164,160,162,151,167,179,137,184,111,122,111,101,"1,889","2,141"
Petersham,2340000,15,18,0,10,19,16,19,,,,,,,97,121
Phoenix Academy Public Charter High School Lawrence (District),35180000,,,,,,,,,,0,0,0,0,0,58
Phoenix Academy Public Charter High School Springfield (District),35080000,,,,,,,,,,0,0,0,0,0,61
Phoenix Charter Academy (District),4930000,,,,,,,,,,0,0,0,0,0,202
Pioneer Charter School of Science (District),4940000,63,60,64,63,67,66,67,44,59,0,55,32,46,686,801
Pioneer Charter School of Science II (PCSS-II) (District),35060000,,,,,,,,67,58,0,0,19,27,171,360
Pioneer Valley,7500000,0,33,43,48,52,47,56,57,62,14,35,17,39,503,610
Pioneer Valley Chinese Immersion Charter (District),4970000,43,44,44,44,44,44,62,54,56,31,23,10,0,499,557
Pioneer Valley Performing Arts Charter Public (District),4790000,,,,,,,,73,73,72,65,61,58,402,404
Pittsfield,2360000,322,349,374,417,359,352,302,235,167,158,126,124,200,"3,485","4,897"
Plainville,2380000,62,88,84,89,85,90,84,,,,,,,582,582
Plymouth,2390000,472,491,525,521,518,480,533,520,530,357,294,253,369,"5,863","7,033"
Plympton,2400000,33,45,29,28,27,39,19,,,,,,,220,220
Prospect Hill Academy Charter (District),4870000,0,0,0,0,0,0,0,33,28,63,44,22,28,218,"1,105"
Provincetown,2420000,0,0,0,0,0,0,0,0,0,,,,,0,0
Quabbin,7530000,133,161,131,164,131,130,159,171,154,118,90,118,124,"1,784","2,025"
Quaboag Regional,7780000,66,76,76,94,80,95,116,79,74,38,34,34,51,913,"1,132"
Quincy,2430000,374,731,719,684,685,671,694,707,681,259,215,171,167,"6,758","9,158"
Ralph C Mahar,7550000,,,,,,,,123,129,71,72,70,78,543,625
Randolph,2440000,153,216,210,243,203,200,76,102,57,37,32,30,68,"1,627","2,580"
Reading,2460000,244,313,318,287,266,312,313,281,286,236,227,137,154,"3,374","3,863"
Revere,2480000,521,563,554,555,564,559,486,356,381,8,66,251,305,"5,169","7,176"
Richmond,2490000,15,15,12,18,14,17,14,16,18,,,,,139,139
Rising Tide Charter Public (District),4830000,,,,,,91,90,90,92,81,74,60,60,638,668
River Valley Charter (District),4820000,30,34,32,33,32,32,32,32,29,,,,,286,286
Rochester,2500000,55,57,65,78,65,83,66,,,,,,,469,469
Rockland,2510000,132,160,170,157,183,157,160,176,181,120,54,48,76,"1,774","2,161"
Rockport,2520000,42,32,50,55,55,64,69,67,64,48,36,33,35,650,760
Rowe,2530000,5,12,6,11,14,5,10,,,,,,,63,63
Roxbury Preparatory Charter (District),4840000,,,,,,153,281,259,250,237,166,73,47,"1,466","1,590"
Sabis International Charter (District),4410000,103,113,117,158,128,132,159,132,126,56,43,50,61,"1,378","1,565"
Salem,2580000,276,279,271,296,327,332,270,273,233,121,107,68,85,"2,938","3,692"
Salem Academy Charter (District),4850000,,,,,,,71,72,72,72,75,65,16,443,491
Sandwich,2610000,147,152,184,180,170,196,176,220,220,94,121,106,128,"2,094","2,284"
Saugus,2620000,1,173,180,198,192,200,193,218,187,165,136,42,98,"1,983","2,387"
Savoy,2630000,4,3,4,9,6,6,9,,,,,,,41,41
Scituate,2640000,181,211,227,218,200,205,212,193,208,174,150,159,162,"2,500","2,816"
Seekonk,2650000,145,156,149,158,170,150,119,137,170,109,122,115,123,"1,823","2,002"
Sharon,2660000,0,234,260,247,251,270,290,289,289,212,231,116,125,"2,814","3,473"
Shawsheen Valley Regional Vocational Technical,8710000,,,,,,,,,,41,32,42,38,153,"1,302"
