District Name,District Code,Tests Taken,Reading / Writing,Writing,Math
Upper Cape Cod Regional Vocational Technical,08790000,      17,492,,462
Uxbridge,03040000,     113,541,,519
Wachusett,07750000,     514,582,,581
Wakefield,03050000,     248,565,,561
Walpole,03070000,     291,587,,569
Waltham,03080000,     204,564,,555
Ware,03090000,      27,512,,534
Wareham,03100000,       9,,,
Watertown,03140000,     144,559,,568
Wayland,03150000,     214,645,,657
Webster,03160000,      23,523,,509
Wellesley,03170000,     337,657,,670
West Boylston,03220000,      43,570,,536
West Bridgewater,03230000,     111,543,,542
West Springfield,03320000,      62,568,,547
Westborough,03210000,     343,625,,639
Westfield,03250000,      87,559,,554
Westford,03260000,     403,632,,654
Weston,03300000,     156,638,,657
Westport,03310000,      29,521,,490
Westwood,03350000,     339,607,,631
Weymouth,03360000,     110,548,,538
Whitman-Hanson,07800000,     273,531,,524
Whittier Regional Vocational Technical,08850000,      35,549,,527
Wilmington,03420000,      70,592,,580
Winchendon,03430000,      30,554,,527
Winchester,03440000,     449,627,,643
Winthrop,03460000,      50,559,,552
Woburn,03470000,     220,536,,536
Worcester,03480000,     643,518,,521
State Totals,00000000,"  43,337",576,,576
