District Name,District Code,K,01,02,03,04,05,06,07,08,09,10,11,12,All Grades,Total Students
Chesterfield-Goshen,06320000,      11,      17,      15,      16,      17,      14,      17,,,,,,,     107,         107
Chicopee,00610000,     435,     455,     451,     489,     538,     526,     306,     266,     308,     299,     327,     315,     355,"   5,070","       6,726"
Christa McAuliffe Charter Public (District),04180000,,,,,,,     128,     139,     128,,,,,     395,         400
City on a Hill Charter Public School Circuit Street (District),04370000,,,,,,,,,,      59,       4,       0,       0,      63,         275
Clarksburg,00630000,      19,      15,      18,      30,      13,      24,      19,      30,      24,,,,,     192,         192
Clinton,00640000,     146,     131,     168,     133,     146,     143,     134,     165,     142,      12,      32,      22,      44,"   1,418","       1,807"
Codman Academy Charter Public (District),04380000,      19,      20,      21,      20,      21,      21,      23,       0,       0,      10,      15,      13,       3,     186,         324
Cohasset,00650000,      98,     105,      97,     102,     115,      93,     116,     124,     103,     100,     113,      96,     121,"   1,383","       1,416"
Collegiate Charter School of Lowell (District),35030000,      76,      84,     112,     119,     115,     120,      97,     121,      93,      31,       0,,,     968,"       1,003"
Community Charter School of Cambridge (District),04360000,,,,,,,      30,      41,      60,      56,       0,       8,      16,     211,         306
Community Day Charter Public School - Gateway (District),04260000,       0,       0,       0,       0,       0,       0,       0,       0,       0,,,,,       0,         366
Community Day Charter Public School - Prospect (District),04400000,       0,       0,       0,       0,       0,       0,       0,       0,       0,,,,,       0,         368
Community Day Charter Public School - R. Kingman Webster (District),04310000,       0,       0,       0,       0,       0,       0,       0,       0,       0,,,,,       0,         371
Concord,00670000,     181,     214,     227,     225,     209,     236,     215,     230,     234,,,,,"   1,971","       1,980"
Concord-Carlisle,06400000,,,,,,,,,,     209,     176,     127,     172,     684,"       1,310"
Conservatory Lab Charter (District),04390000,      51,      52,      52,      54,      54,      47,      28,      31,      30,,,,,     399,         399
Conway,00680000,      14,      16,      18,      16,      19,      21,      16,,,,,,,     120,         121
Danvers,00710000,     263,     253,     262,     255,     260,     262,     272,     254,     249,     182,     150,     114,     112,"   2,888","       3,221"
Dartmouth,00720000,     185,     230,     216,     225,     236,     217,     263,     262,     300,     213,     152,     155,     190,"   2,844","       3,341"
Dedham,00730000,     202,     214,     179,     172,     188,     168,     188,     198,     235,     114,     103,      69,      80,"   2,110","       2,463"
Deerfield,00740000,      25,      52,      40,      53,      48,      38,      47,,,,,,,     303,         304
Dennis-Yarmouth,06450000,     206,     220,     237,     183,     191,     204,     135,     167,     136,     108,     148,     124,      72,"   2,131","       2,686"
Dighton-Rehoboth,06500000,     182,     173,     204,     194,     203,     200,     202,     231,     233,     105,     108,      95,     154,"   2,284","       2,571"
Douglas,00770000,      64,      94,      85,      76,     101,      95,      90,      85,      97,      15,       5,       8,      31,     846,"       1,145"
Dover,00780000,      62,      81,      78,      75,      89,      87,,,,,,,,     472,         472
Dover-Sherborn,06550000,,,,,,,     163,     185,     162,     138,     147,     121,     114,"   1,030","       1,182"
Dracut,00790000,     308,     297,     304,     310,     269,     300,     291,     251,     290,      59,      55,      86,      89,"   2,909","       3,616"
Dudley Street Neighborhood Charter School (District),04070000,       0,       0,       0,       0,       0,       0,,,,,,,,       0,         232
Dudley-Charlton Reg,06580000,     217,     232,     248,     253,     246,     261,     288,     330,     283,      78,      53,      49,      84,"   2,622","       3,370"
Duxbury,00820000,     188,     172,     176,     193,     197,     217,     192,     218,     239,     208,     182,     151,     166,"   2,499","       2,775"
East Bridgewater,00830000,     141,     146,     140,     166,     156,     165,     152,     169,     161,     133,     159,     138,     110,"   1,936","       2,046"
East Longmeadow,00870000,     138,     163,     152,     190,     169,     189,     195,     153,     186,     119,     128,      90,     110,"   1,982","       2,405"
Eastham,00850000,      24,      28,      28,      30,      34,      30,,,,,,,,     174,         174
Easthampton,00860000,     108,     111,     119,     107,     111,     127,     112,      91,     113,      67,      64,      69,      61,"   1,260","       1,418"
Easton,00880000,     148,     229,     232,     251,     248,     275,     297,     267,     301,      91,      85,      84,      83,"   2,591","       3,381"
Edgartown,00890000,      40,      41,      44,      36,      44,      36,      55,      35,      37,,,,,     368,         385
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,,,,,,,,,,       0,       0,      76,      68,     144,         401
Erving,00910000,      15,      17,      15,      12,      13,      21,       8,,,,,,,     101,         101
Essex North Shore Agricultural and Technical School District,08170000,,,,,,,,,,       0,       9,      30,      20,      59,"       1,566"
Everett,00930000,     458,     553,     525,     571,     533,     545,     534,     525,     541,     340,     283,     245,     212,"   5,865","       6,885"
Excel Academy Charter (District),04100000,,,,,,     177,     177,     176,     181,      50,      51,      35,      29,     876,"       1,399"
Fairhaven,00940000,       0,       0,       0,       0,       0,       0,       0,       0,       0,      90,     125,      92,      24,     331,"       1,876"
Fall River,00950000,     755,     864,     847,     867,     894,     909,     739,     698,     677,     181,     236,     197,     208,"   8,072","      10,048"
Falmouth,00960000,     193,     218,     224,     248,     227,     238,     247,     251,     263,     153,     152,     133,     137,"   2,684","       2,925"
Farmington River Reg,06620000,      20,      20,      10,      13,      14,      10,      10,,,,,,,      97,          97
Fitchburg,00970000,     337,     415,     465,     384,     443,     390,     402,     370,     341,     199,     202,     134,     110,"   4,192","       5,066"
Florida,00980000,      12,       7,       9,       2,      11,       7,       4,      19,      15,,,,,      86,          86
Four Rivers Charter Public (District),04130000,,,,,,,,      34,      38,      20,      27,      23,      18,     160,         215
Foxborough,00990000,     163,     179,     159,     169,     186,     166,     175,     208,     204,     116,      85,     100,     103,"   2,013","       2,398"
Foxborough Regional Charter (District),04460000,     145,     145,     152,     149,     149,     148,     151,     142,     148,       5,       6,      24,      22,"   1,386","       1,687"
Framingham,01000000,     659,     659,     791,     680,     714,     718,     644,     664,     657,     407,     410,     282,     214,"   7,499","       8,627"
Francis W. Parker Charter Essential (District),04780000,,,,,,,,       0,       0,       0,       1,      21,      26,      48,         391
Franklin,01010000,     274,     270,     330,     324,     353,     324,     344,     378,     407,     365,     271,     191,     200,"   4,031","       4,760"
Franklin County Regional Vocational Technical,08180000,,,,,,,,,,       0,       0,       0,       0,       0,         557
Freetown-Lakeville,06650000,     202,     208,     198,     201,     197,     207,     190,     193,     213,     171,     107,      58,     111,"   2,256","       2,666"
Frontier,06700000,,,,,,,,      32,      29,      58,      36,      51,      55,     261,         646
Gardner,01030000,     149,     156,     138,     157,     142,      88,     102,      90,     107,      83,      34,      46,      51,"   1,343","       2,134"
Gateway,06720000,      48,      47,      52,      68,      52,      58,      74,      66,      56,      33,      34,      16,      42,     646,         722
Georgetown,01050000,      83,     104,     102,     101,      90,      97,      81,     110,      84,      68,      54,      67,      76,"   1,117","       1,200"
Gill-Montague,06740000,      58,      57,      70,      76,      64,      73,      64,      79,      71,      50,      32,      25,      42,     761,         814
Global Learning Charter Public (District),04960000,,,,,,      89,      90,      91,      90,      37,      44,      28,      23,     492,         503
Gloucester,01070000,     197,     187,     183,     177,     183,     202,     210,     203,     202,     126,      95,      76,      66,"   2,107","       2,692"
Gosnold,01090000,,,       2,       1,       1,       1,       1,,,,,,,       6,           6
Grafton,01100000,     162,     192,     182,     231,     220,     247,     273,     245,     272,     111,      84,     104,     109,"   2,432","       3,052"
Granby,01110000,      48,      51,      64,      50,      44,      57,      46,      44,      43,      45,      47,      46,      38,     623,         686
Greater Fall River Regional Vocational Technical,08210000,,,,,,,,,,      24,      24,      23,      23,      94,"       1,439"
Greater Lawrence Regional Vocational Technical,08230000,,,,,,,,,,       0,      35,      32,      48,     115,"       1,629"
Greater Lowell Regional Vocational Technical,08280000,,,,,,,,,,      44,      44,      36,      49,     173,"       2,268"
Greater New Bedford Regional Vocational Technical,08250000,,,,,,,,,,      47,      33,      32,      41,     153,"       2,106"
Greenfield,01140000,     120,     138,     115,     132,     134,     119,     122,     121,     113,      74,      68,      77,      61,"   1,394","       1,501"
Greenfield Commonwealth Virtual District,39010000,      33,      37,      41,      55,      55,      57,      75,      93,     103,      14,      10,      14,      43,     630,"       1,079"
Groton-Dunstable,06730000,     133,     154,     168,     170,     177,     153,     194,     169,     169,     115,     106,      98,      74,"   1,880","       2,229"
Hadley,01170000,      37,      31,      36,      27,      33,      38,      34,      32,      32,      36,      24,      20,      26,     406,         493
Halifax,01180000,      70,      61,      84,      95,     100,      78,      80,,,,,,,     568,         568
Hamilton-Wenham,06750000,     123,     118,     122,     132,     124,     115,     135,     117,     127,     113,     104,      83,     114,"   1,527","       1,646"
Hampden Charter School of Science East (District),04990000,,,,,,,      71,      85,      87,      10,       9,      20,      23,     305,         535
Hampden Charter School of Science West (District),35160000,,,,,,,      55,      73,      69,      24,      19,      16,,     256,         327
Hampden-Wilbraham,06800000,     155,     192,     181,     193,     198,     204,     179,     202,     209,     143,     130,     148,     142,"   2,276","       2,780"
Hampshire,06830000,,,,,,,,     128,     119,      31,      69,      53,      56,     456,         680
Hancock,01210000,       6,       9,       5,       4,       8,       6,       9,,,,,,,      47,          47
Hanover,01220000,     202,     213,     201,     175,     206,     195,     204,     181,     217,     118,     103,      87,      77,"   2,179","       2,571"
Harvard,01250000,      47,      62,      58,      74,      68,      78,      79,      85,      80,      67,      45,      47,      46,     836,         988
Hatfield,01270000,      18,      27,      31,      23,      38,      27,      36,      28,      31,      16,      12,      20,      13,     320,         379
Haverhill,01280000,     499,     569,     604,     631,     630,     611,     676,     664,     687,     353,     222,     188,     278,"   6,612","       7,616"
Hawlemont,06850000,      14,      12,      14,      12,      23,      16,      19,,,,,,,     110,         110
Helen Y. Davis Leadership Academy Charter Public (District),04190000,,,,,,,       0,       0,       0,,,,,       0,         189
Hill View Montessori Charter Public (District),04550000,      36,      32,      33,      33,      40,      34,      31,      33,      32,,,,,     304,         304
Hilltown Cooperative Charter Public (District),04500000,      20,      20,      20,      21,      22,      22,      30,      31,      32,,,,,     218,         218
Hingham,01310000,     224,     251,     278,     301,     303,     322,     294,     308,     254,     115,      60,     102,     110,"   2,922","       3,884"
Holbrook,01330000,      84,     101,     107,     102,     107,     101,      83,      95,      81,      29,      20,      30,      30,     970,"       1,228"
Holland,01350000,       1,      21,      25,      33,      29,      27,      30,,,,,,,     166,         191
Holliston,01360000,     140,     191,     170,     210,     220,     226,     226,     226,     227,     164,     142,     140,     129,"   2,411","       2,704"
Holyoke,01370000,     292,     339,     307,     282,     354,     345,     312,     311,     254,      65,     195,     188,     178,"   3,422","       4,948"
Holyoke Community Charter (District),04530000,       0,       0,       0,       0,       0,       0,       0,       0,       0,,,,,       0,         701
Hoosac Valley Regional,06030000,      71,      83,      68,      70,      79,      75,     101,     105,      13,      38,      31,      33,      26,     793,         988
Hopedale,01380000,      79,      71,      65,      81,      81,      77,      75,      90,      88,      46,      65,      41,      54,     913,"       1,015"
Hopkinton,01390000,     275,     282,     316,     275,     315,     300,     304,     299,     324,     196,     202,     159,     153,"   3,400","       3,887"
Hudson,01410000,     171,     179,     187,     214,     194,     213,     162,     203,     200,     151,     116,      81,      98,"   2,169","       2,410"
Hull,01420000,       0,       0,       0,       0,       0,       0,      49,      45,      54,      42,      37,      25,      20,     272,         766
Innovation Academy Charter (District),04350000,,,,,,     100,     102,     102,     100,      88,      69,      63,      54,     678,         792
Ipswich,01440000,      93,      97,     105,     132,     117,     120,     115,     121,     135,     104,      93,     106,      99,"   1,437","       1,576"
KIPP Academy Boston Charter School (District),04630000,      72,      68,      66,      70,      72,      75,      71,      60,      59,,,,,     613,         620
KIPP Academy Lynn Charter (District),04290000,     123,     124,     123,     124,     124,     128,     126,       0,       0,     111,     111,      69,      80,"   1,243","       1,611"
King Philip,06900000,,,,,,,,     362,      39,     198,     150,     118,     142,"   1,009","       1,939"
Kingston,01450000,     132,     144,     149,     147,     143,     162,     150,,,,,,,"   1,027","       1,028"
Lawrence,01490000,     219,     262,     268,     341,     378,     593,     597,     521,     525,     735,      54,     380,     328,"   5,201","      12,740"
Lawrence Family Development Charter (District),04540000,      80,      81,      83,      84,      81,      80,      77,      74,      75,,,,,     715,         715
Learning First Charter Public School (District),04860000,      73,      75,      74,      74,      75,      80,      74,      69,      72,,,,,     666,         666
Lee,01500000,      36,      38,      47,      47,      45,      40,      48,      34,      40,      32,      41,      35,      49,     532,         659
Leicester,01510000,      78,      93,      92,     115,      93,      90,      96,     123,     103,      99,      45,      64,      49,"   1,140","       1,354"
Lenox,01520000,      45,      45,      50,      47,      53,      50,      59,      60,      58,      41,      37,      44,      37,     626,         726
Leominster,01530000,     350,     410,     381,     405,     409,     442,     490,     475,     469,      66,      52,      73,     164,"   4,186","       5,877"
Leverett,01540000,      16,      15,      15,      20,      18,      13,      21,,,,,,,     118,         118
Lexington,01550000,     314,     412,     480,     511,     533,     550,     573,     594,     620,     468,     503,     454,     453,"   6,465","       6,884"
Libertas Academy Charter School (District),35140000,,,,,,,       0,       0,       0,,,,,       0,         262
Lincoln,01570000,      95,     115,     136,     109,     108,      85,     104,      98,      87,,,,,     937,         937
Lincoln-Sudbury,06950000,,,,,,,,,,     299,     287,     243,     219,"   1,048","       1,516"
Littleton,01580000,       0,       0,       0,     130,     110,     125,     131,     121,     113,      88,      84,      54,      75,"   1,031","       1,530"
Longmeadow,01590000,     152,     185,     205,     192,     201,     198,     204,     239,     224,     108,     103,     100,      84,"   2,195","       2,704"
Lowell,01600000,"   1,092","   1,125","   1,242","   1,124","   1,192","   1,042","   1,170","   1,169","   1,142",     154,     212,     262,     279,"  11,205","      13,857"
Lowell Community Charter Public (District),04560000,      96,      92,      90,      84,      87,      80,      83,      76,      68,,,,,     756,         756
Lowell Middlesex Academy Charter (District),04580000,,,,,,,,,,      23,      14,      19,      24,      80,          81
Ludlow,01610000,     135,     151,     147,     145,     163,     171,     140,     195,      42,     146,     135,     137,      55,"   1,762","       2,352"
Lunenburg,01620000,     105,     105,     131,     110,     110,     123,     128,     138,     123,      32,      64,      83,      74,"   1,326","       1,557"
Lynn,01630000,     803,     934,"   1,022",     899,     776,     889,     623,     490,     276,     445,     448,     356,     259,"   8,220","      12,682"
Lynnfield,01640000,     171,     159,     167,     191,     158,     195,     181,     161,     160,      87,      55,      41,      63,"   1,789","       2,146"
MATCH Charter Public School (District),04690000,      93,      94,      99,      97,      96,      94,      91,      96,      89,      84,      77,       0,       0,"   1,010","       1,168"
Ma Academy for Math and Science,04680000,,,,,,,,,,,,       0,       9,       9,          92
Malden,01650000,     424,     445,     438,     445,     472,     472,     507,     481,     490,     146,     143,     150,     169,"   4,782","       5,969"
Manchester Essex Regional,06980000,      57,      80,      72,      86,      86,      74,      94,     107,     124,      76,      65,      55,      34,"   1,010","       1,260"
Mansfield,01670000,     224,     216,     225,     238,     252,     267,     248,     265,     266,     229,     216,     111,     180,"   2,937","       3,425"
Map Academy Charter School (District),35170000,,,,,,,,,,       7,       4,       8,       1,      20,         192
Marblehead,01680000,     139,     158,     181,     194,     200,     195,     202,     194,     226,     151,     109,      85,     114,"   2,148","       2,672"
Marblehead Community Charter Public (District),04640000,,,,,      49,      50,      54,      31,      24,,,,,     208,         211
Marion,01690000,      40,      52,      54,      51,      50,      58,      59,,,,,,,     364,         387
Marlborough,01700000,      79,     440,     418,     388,     398,     420,     363,     366,     392,      70,     101,      62,      88,"   3,585","       4,698"
Marshfield,01710000,     239,     238,     209,     242,     270,     252,     272,     273,     299,     134,     157,     111,     115,"   2,811","       3,695"
Martha's Vineyard,07000000,,,,,,,,,,     127,     101,      63,      74,     365,         673
Martha's Vineyard Charter (District),04660000,       0,      10,      16,      16,      11,      20,      18,      14,       0,       6,       6,      17,       5,     139,         166
Martin Luther King Jr. Charter School of Excellence (District),04920000,      66,      58,      60,      57,      61,      58,,,,,,,,     360,         360
Masconomet,07050000,,,,,,,,     316,     263,     151,     107,     104,     110,"   1,051","       1,698"
Mashpee,01720000,      94,      95,      91,     110,     101,     120,     123,     115,     105,      31,      43,      44,      50,"   1,122","       1,465"
Mattapoisett,01730000,      50,      50,      62,      54,      58,      60,      54,,,,,,,     388,         389
Maynard,01740000,      80,      97,      84,     105,      87,      74,      52,      68,      67,      45,      38,      55,      38,     890,"       1,127"
Medfield,01750000,     165,     186,     192,     191,     190,     210,     187,     177,     177,     138,     171,      78,      98,"   2,160","       2,460"
Medford,01760000,     283,     275,     274,     289,     299,     296,     305,     310,     279,     121,     149,     124,     101,"   3,105","       3,888"
Medway,01770000,     144,     153,     146,     148,     148,     168,     156,     178,     172,     124,     131,      66,     112,"   1,846","       2,063"
Melrose,01780000,     297,     289,     302,     312,     315,     292,     267,     262,     233,     133,     100,      99,     101,"   3,002","       3,547"
Mendon-Upton,07100000,     140,     152,     155,     161,     141,     112,      86,     140,     170,      73,      61,      72,      86,"   1,549","       2,109"
Methuen,01810000,     402,     479,     478,     498,     489,     505,     516,     545,     586,     229,     312,     280,     270,"   5,589","       6,448"
Middleborough,01820000,     196,     209,     210,     228,     218,     213,     227,     257,     268,     162,      87,      87,      61,"   2,423","       2,866"
Middleton,01840000,      95,      88,     101,      79,      85,      81,      89,,,,,,,     618,         618
Milford,01850000,     306,     309,     285,     314,     331,     341,     319,     344,     341,     199,     187,     144,     134,"   3,554","       4,205"
Millbury,01860000,      93,     122,     119,     126,      94,     117,     132,      68,      97,      82,      75,      53,      84,"   1,262","       1,531"
Millis,01870000,       0,      84,      80,     102,      83,      83,     105,      77,      93,      67,      33,      32,      63,     902,"       1,122"
Milton,01890000,     301,     356,     361,     381,     388,     342,     292,     193,     191,     200,     188,     172,     178,"   3,543","       4,219"
Minuteman Regional Vocational Technical,08300000,,,,,,,,,,     141,      95,      79,      64,     379,         627
Mohawk Trail,07170000,      43,      50,      59,      64,      59,      63,      67,       0,       0,       2,       9,      11,      22,     449,         693
Monomoy Regional School District,07120000,      92,      87,      88,     123,     125,     145,      67,      39,      99,      63,      51,      56,      86,"   1,121","       1,737"
Monson,01910000,      62,      69,      62,      59,      68,      71,      71,      66,      57,      10,      19,      40,      29,     683,         805
Montachusett Regional Vocational Technical,08320000,,,,,,,,,,      22,      22,      20,      21,      85,"       1,401"
Mount Greylock,07150000,      58,      62,      85,      72,      89,      89,      87,      19,      28,      86,      59,      47,      50,     831,"       1,057"
Mystic Valley Regional Charter (District),04700000,     167,     157,     148,     148,     121,     123,     120,     147,     123,       0,       0,       8,       6,"   1,268","       1,609"
Nahant,01960000,      29,      21,      13,      16,      17,      18,      16,,,,,,,     130,         136
Nantucket,01970000,     113,     120,     112,     113,      88,     116,     142,     140,       0,     118,     122,     107,      87,"   1,378","       1,625"
Narragansett,07200000,       0,       0,       0,       0,       0,     104,     115,     120,      88,      44,      45,      45,      33,     594,"       1,289"
Nashoba,07250000,     218,     200,     214,     225,     237,     234,     265,     247,     263,     170,     132,     167,     159,"   2,731","       3,026"
Nashoba Valley Regional Vocational Technical,08520000,,,,,,,,,,      83,      72,      82,      79,     316,         730
Natick,01980000,     348,     388,     413,     394,     414,     427,     431,     412,     403,     338,     253,     185,     267,"   4,673","       5,185"
Nauset,06600000,,,,,,,     169,     165,     157,     142,     113,      98,     115,     959,"       1,432"
Needham,01990000,       0,     407,     433,     436,     437,     449,     391,     441,     421,     390,     365,     332,     191,"   4,693","       5,463"
Neighborhood House Charter (District),04440000,      36,      39,      41,      43,      43,      62,      68,      73,      80,      40,      49,      43,      27,     644,         761
New Bedford,02010000,     972,"   1,030","   1,063","   1,049","   1,159","   1,050",     899,     874,     950,     719,     550,     463,     363,"  11,141","      12,300"
New Heights Charter School of Brockton (District),35130000,,,,,,,       0,       0,       0,       0,       0,      15,      18,      33,         744
New Salem-Wendell,07280000,      15,      17,      21,      18,      17,      17,      15,,,,,,,     120,         120
Newburyport,02040000,      96,     133,     130,     107,     133,     136,     156,     165,     166,     160,     149,     101,      79,"   1,711","       2,095"
Newton,02070000,     693,     814,     845,     861,     924,     904,     990,     912,     954,     517,     569,     502,     411,"   9,896","      11,895"
