District Name,District Code,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
Silver Lake,07600000,       268,    96.6,     0.4,     0.0,     0.4,     2.6,     0.0
Sizer School: A North Central Charter Essential (District),04740000,        49,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Somerset Berkley Regional School District,07630000,       239,    96.7,     1.7,     0.0,     0.0,     1.7,     0.0
Somerville,02740000,       297,    86.9,     7.1,     0.0,     0.0,     6.1,     0.0
South Hadley,02780000,       146,    96.6,     2.1,     0.0,     0.0,     1.4,     0.0
South Middlesex Regional Vocational Technical,08290000,       186,    91.4,     2.2,     1.1,     0.0,     5.4,     0.0
South Shore Charter Public (District),04880000,        78,    92.3,     6.4,     0.0,     0.0,     1.3,     0.0
South Shore Regional Vocational Technical,08730000,       157,    94.9,     0.6,     0.0,     0.0,     4.5,     0.0
Southbridge,02770000,       116,    55.2,    11.2,     3.4,     0.0,    30.2,     0.0
Southeastern Regional Vocational Technical,08720000,       361,    98.9,     0.6,     0.0,     0.0,     0.6,     0.0
Southern Berkshire,07650000,        51,    92.2,     2.0,     0.0,     0.0,     5.9,     0.0
Southern Worcester County Regional Vocational Technical,08760000,       268,    98.1,     0.7,     0.0,     0.4,     0.7,     0.0
Southwick-Tolland-Granville Regional School District,07660000,       104,    93.3,     1.0,     0.0,     1.0,     4.8,     0.0
Spencer-E Brookfield,07670000,        63,    87.3,     3.2,     0.0,     1.6,     7.9,     0.0
Springfield,02810000,"     1,705",    84.0,     7.3,     0.1,     0.2,     8.5,     0.0
Stoneham,02840000,       189,    91.5,     3.7,     0.0,     0.5,     4.2,     0.0
Stoughton,02850000,       270,    90.4,     3.3,     0.4,     0.4,     5.6,     0.0
Sturgis Charter Public (District),04890000,       197,    98.0,     0.5,     0.0,     0.0,     1.5,     0.0
Sutton,02900000,        84,    96.4,     1.2,     0.0,     0.0,     2.4,     0.0
Swampscott,02910000,       190,    92.6,     4.7,     0.5,     0.0,     2.1,     0.0
Swansea,02920000,       134,    98.5,     0.7,     0.0,     0.0,     0.7,     0.0
Tantasqua,07700000,       291,    96.2,     1.7,     0.0,     0.3,     1.7,     0.0
Taunton,02930000,       560,    90.2,     5.0,     0.2,     0.4,     4.3,     0.0
TEC Connections Academy Commonwealth Virtual School District,39020000,       503,    47.9,    11.9,     0.2,     4.8,    35.0,     0.2
Tewksbury,02950000,       228,    93.9,     4.4,     0.0,     0.0,     1.8,     0.0
Tri-County Regional Vocational Technical,08780000,       220,    98.2,     0.9,     0.0,     0.5,     0.5,     0.0
Triton,07730000,       163,    89.0,     5.5,     1.2,     0.0,     4.3,     0.0
Tyngsborough,03010000,       117,    94.9,     2.6,     0.9,     0.0,     1.7,     0.0
Upper Cape Cod Regional Vocational Technical,08790000,       172,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
Uxbridge,03040000,       145,    80.0,    10.3,     1.4,     2.1,     6.2,     0.0
Wachusett,07750000,       520,    94.4,     3.5,     0.0,     0.2,     1.9,     0.0
Wakefield,03050000,       256,    96.1,     2.0,     0.4,     0.0,     1.6,     0.0
Walpole,03070000,       283,    93.6,     3.9,     0.0,     0.4,     2.1,     0.0
Waltham,03080000,       440,    81.8,     6.6,     0.0,     0.7,    10.9,     0.0
Ware,03090000,        72,    73.6,    15.3,     0.0,     0.0,    11.1,     0.0
Wareham,03100000,       105,    61.9,    19.0,     1.0,     0.0,    18.1,     0.0
Watertown,03140000,       194,    87.6,     4.6,     0.0,     1.0,     6.7,     0.0
Wayland,03150000,       232,    98.3,     0.9,     0.4,     0.0,     0.4,     0.0
Webster,03160000,       116,    63.8,    18.1,     0.0,     2.6,    15.5,     0.0
Wellesley,03170000,       391,    96.7,     3.1,     0.0,     0.0,     0.3,     0.0
West Boylston,03220000,        69,    94.2,     4.3,     0.0,     0.0,     1.4,     0.0
West Bridgewater,03230000,       107,    96.3,     2.8,     0.0,     0.0,     0.9,     0.0
West Springfield,03320000,       310,    89.7,     4.5,     0.0,     0.3,     5.5,     0.0
Westborough,03210000,       319,    97.2,     1.9,     0.0,     0.0,     0.9,     0.0
Westfield,03250000,       434,    93.3,     3.0,     0.5,     0.2,     3.0,     0.0
Westford,03260000,       450,    97.1,     2.2,     0.0,     0.0,     0.7,     0.0
Weston,03300000,       167,    98.2,     1.8,     0.0,     0.0,     0.0,     0.0
Westport,03310000,        92,    87.0,     3.3,     2.2,     0.0,     7.6,     0.0
Westwood,03350000,       246,    98.0,     2.0,     0.0,     0.0,     0.0,     0.0
Weymouth,03360000,       460,    88.9,     7.2,     0.2,     0.2,     3.5,     0.0
Whitman-Hanson,07800000,       295,    89.8,     6.4,     0.3,     0.0,     3.4,     0.0
Whittier Regional Vocational Technical,08850000,       270,    98.5,     0.0,     0.0,     0.4,     1.1,     0.0
Wilmington,03420000,       199,    95.0,     2.5,     0.5,     0.0,     2.0,     0.0
Winchendon,03430000,        80,    68.8,    16.3,     0.0,     1.3,    13.8,     0.0
Winchester,03440000,       370,    97.8,     1.9,     0.0,     0.0,     0.3,     0.0
Winthrop,03460000,       155,    91.0,     0.0,     2.6,     1.3,     5.2,     0.0
Woburn,03470000,       327,    90.5,     5.8,     0.0,     0.0,     3.7,     0.0
Worcester,03480000,"     1,886",    88.0,     6.2,     0.1,     0.3,     5.4,     0.0
State Totals,00000000,"    74,226",    89.8,     5.1,     0.3,     0.3,     4.6,     0.0
