District Name,District Code,Tests Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests,
Falmouth,00960000,     113,     230,      46,      33,      20,      12,       2,
Fitchburg,00970000,     234,     494,     113,      41,      37,      28,      15,
Foxborough,00990000,     206,     426,      85,      51,      47,      17,       6,
Foxborough Regional Charter (District),04460000,     106,     176,      54,      35,      16,       1,       0,
Framingham,01000000,     427,     820,     196,     120,      70,      32,       9,
Francis W. Parker Charter Essential (District),04780000,      11,      14,       8,       3,       0,       0,       0,
Franklin,01010000,     494,"   1,022",     225,     114,      88,      40,      27,
Franklin County Regional Vocational Technical,08180000,      13,      14,      12,       1,       0,       0,       0,
Freetown-Lakeville,06650000,     174,     336,      67,      63,      33,      11,       0,
Frontier,06700000,     110,     182,      60,      31,      16,       3,       0,
Gardner,01030000,      62,     115,      30,      16,      11,       5,       0,
Gateway,06720000,      28,      50,      18,       4,       1,       4,       1,
Georgetown,01050000,      66,     117,      31,      22,      10,       3,       0,
Gill-Montague,06740000,      20,      30,      13,       4,       3,       0,       0,
Gloucester,01070000,      96,     160,      50,      32,      10,       4,       0,
Grafton,01100000,     192,     332,      96,      59,      30,       7,       0,
Granby,01110000,      39,      64,      20,      14,       4,       1,       0,
Greater Fall River Regional Vocational Technical,08210000,      61,      78,      45,      15,       1,       0,       0,
Greater Lowell Regional Vocational Technical,08280000,     105,     131,      82,      21,       1,       1,       0,
Greater New Bedford Regional Vocational Technical,08250000,      67,      79,      56,      10,       1,       0,       0,
Greenfield,01140000,      66,     129,      26,      21,      16,       2,       1,
Greenfield Commonwealth Virtual District,39010000,      19,      27,      13,       5,       0,       1,       0,
Groton-Dunstable,06730000,     198,     370,      78,      76,      36,       8,       0,
Hadley,01170000,      33,      44,      25,       5,       3,       0,       0,
Hamilton-Wenham,06750000,     133,     219,      74,      40,      14,       3,       2,
Hampden Charter School of Science East (District),04990000,     115,     200,      58,      34,      18,       5,       0,
Hampden Charter School of Science West (District),35160000,       1,,,,,,,
Hampden-Wilbraham,06800000,     156,     274,      78,      45,      28,       3,       2,
Hampshire,06830000,     110,     169,      71,      27,       6,       4,       2,
Hanover,01220000,     259,     494,     124,      74,      39,      11,      11,
Harvard,01250000,     129,     257,      58,      35,      20,      13,       3,
Hatfield,01270000,      47,      65,      30,      16,       1,       0,       0,
Haverhill,01280000,     275,     483,     142,      78,      38,      14,       3,
Hingham,01310000,     304,     588,     131,      85,      70,      14,       4,
Holbrook,01330000,      41,      74,      23,       7,       7,       4,       0,
Holliston,01360000,     254,     452,     121,      80,      42,      10,       1,
Holyoke,01370000,      71,     109,      44,      18,       7,       2,       0,
Hoosac Valley Regional,06030000,      76,     120,      47,      14,      15,       0,       0,
Hopedale,01380000,      97,     156,      59,      22,      12,       3,       1,
Hopkinton,01390000,     498,"   1,087",     192,     131,      94,      55,      26,
Hudson,01410000,     125,     193,      68,      46,      11,       0,       0,
Hull,01420000,      56,     107,      28,      12,      11,       4,       1,
Innovation Academy Charter (District),04350000,       5,,,,,,,
Ipswich,01440000,     121,     266,      44,      31,      30,      10,       6,
KIPP Academy Lynn Charter (District),04290000,     101,     155,      58,      33,       9,       1,       0,
King Philip,06900000,     378,     827,     139,     100,      85,      40,      14,
Lawrence,01490000,     210,     362,     105,      75,      16,      11,       3,
Lee,01500000,      31,      63,      14,       6,       7,       4,       0,
Leicester,01510000,      69,     102,      44,      17,       8,       0,       0,
Lenox,01520000,      59,     105,      27,      19,      12,       1,       0,
Leominster,01530000,     152,     300,      71,      39,      24,      11,       7,
Lexington,01550000,     974,"   1,848",     432,     326,     125,      71,      20,
Lincoln-Sudbury,06950000,     255,     359,     179,      54,      17,       4,       1,
Littleton,01580000,      99,     186,      43,      30,      21,       5,       0,
Longmeadow,01590000,     144,     269,      71,      42,      13,      15,       3,
Lowell,01600000,     144,     214,      87,      44,      13,       0,       0,
Ludlow,01610000,     139,     250,      66,      39,      30,       4,       0,
Lunenburg,01620000,      92,     169,      37,      37,      15,       2,       1,
Lynn,01630000,     428,     781,     237,      86,      60,      35,      10,
Lynnfield,01640000,     188,     403,      76,      54,      30,      17,      11,
MATCH Charter Public School (District),04690000,     148,     230,     110,      15,       6,      13,       4,
Ma Academy for Math and Science,04680000,      50,     129,       9,      18,      10,      12,       1,
Malden,01650000,     240,     391,     125,      85,      24,       6,       0,
Manchester Essex Regional,06980000,     160,     391,      43,      46,      43,      15,      13,
Mansfield,01670000,     297,     544,     140,      83,      61,      10,       3,
Marblehead,01680000,     329,     701,     138,      90,      45,      36,      20,
Marlborough,01700000,     168,     373,      57,      52,      31,      23,       5,
Marshfield,01710000,     204,     397,      90,      58,      35,      19,       2,
Martha's Vineyard,07000000,     150,     328,      55,      48,      24,      11,      12,
Masconomet,07050000,     207,     339,     113,      63,      24,       7,       0,
Mashpee,01720000,     103,     196,      50,      20,      27,       5,       1,
Maynard,01740000,      86,     130,      52,      26,       6,       2,       0,
Medfield,01750000,     267,     494,     127,      76,      43,      19,       2,
Medford,01760000,     153,     296,      66,      58,      12,       8,       9,
Medway,01770000,     248,     484,     111,      70,      43,      16,       8,
Melrose,01780000,     265,     486,     127,      81,      36,      16,       5,
Mendon-Upton,07100000,     219,     456,      74,      75,      52,      14,       4,
Methuen,01810000,     354,     576,     205,      95,      41,       8,       5,
Middleborough,01820000,     153,     210,     103,      44,       5,       1,       0,
Milford,01850000,     240,     372,     136,      78,      24,       2,       0,
Millbury,01860000,      93,     137,      55,      33,       4,       1,       0,
Millis,01870000,     102,     189,      46,      32,      19,       3,       2,
Milton,01890000,     367,     779,     148,      92,      78,      35,      14,
Minuteman Regional Vocational Technical,08300000,      22,      22,      22,       0,       0,       0,       0,
Mohawk Trail,07170000,      35,      46,      25,       9,       1,       0,       0,
Monomoy Regional School District,07120000,     110,     212,      48,      33,      20,       7,       2,
Monson,01910000,      57,      70,      49,       3,       5,       0,       0,
Montachusett Regional Vocational Technical,08320000,     142,     189,      96,      45,       1,       0,       0,
Mount Greylock,07150000,     146,     291,      68,      28,      33,      17,       0,
Nantucket,01970000,     119,     222,      47,      45,      23,       4,       0,
Narragansett,07200000,      73,     125,      35,      26,      10,       2,       0,
Nashoba,07250000,     296,     556,     162,      65,      34,      16,      19,
Nashoba Valley Regional Vocational Technical,08520000,      45,      68,      27,      13,       5,       0,       0,
Natick,01980000,     483,     824,     279,     117,      57,      16,      14,
Nauset,06600000,     247,     501,     111,      64,      42,      18,      12,
Needham,01990000,     456,     876,     203,     137,      70,      42,       4,
Neighborhood House Charter (District),04440000,      38,      55,      22,      15,       1,       0,       0,
New Bedford,02010000,     285,     552,     127,      76,      61,      15,       6,
Newburyport,02040000,     193,     379,      78,      64,      35,      12,       4,
Newton,02070000,     829,"   1,474",     414,     258,     101,      42,      14,
Norfolk County Agricultural,09150000,       1,,,,,,,
North Adams,02090000,      90,     148,      52,      24,       9,       4,       1,
North Andover,02110000,     260,     455,     126,      87,      37,       8,       2,
North Attleborough,02120000,     279,     532,     142,      65,      35,      30,       7,
North Brookfield,02150000,      11,      16,       6,       5,       0,       0,       0,
North Middlesex,07350000,     175,     279,     101,      46,      26,       2,       0,
North Reading,02170000,     165,     291,      77,      59,      22,       5,       2,
Northampton,02100000,     224,     420,      97,      73,      40,      13,       1,
Northampton-Smith Vocational Agricultural,04060000,      34,      39,      29,       5,       0,       0,       0,
Northboro-Southboro,07300000,     466,     935,     205,     145,      58,      34,      24,
Northbridge,02140000,     121,     190,      56,      61,       4,       0,       0,
Northeast Metropolitan Regional Vocational Technical,08530000,      75,     111,      47,      20,       8,       0,       0,
Northern Berkshire Regional Vocational Technical,08510000,      10,      20,       2,       6,       2,       0,       0,
Norton,02180000,     182,     354,      77,      57,      33,      11,       4,
Norwell,02190000,     259,     458,     138,      60,      47,      11,       3,
Norwood,02200000,     163,     262,      97,      40,      22,       2,       2,
Old Colony Regional Vocational Technical,08550000,      65,      75,      56,       8,       1,       0,       0,
Old Rochester,07400000,     224,     422,     110,      57,      37,      14,       6,
Oxford,02260000,      74,     122,      40,      22,      10,       2,       0,
Palmer,02270000,      40,      58,      25,      12,       3,       0,       0,
Pathfinder Regional Vocational Technical,08600000,      74,     104,      50,      18,       6,       0,       0,
Paulo Freire Social Justice Charter School (District),35010000,      13,      15,      12,       0,       1,       0,       0,
Peabody,02290000,     188,     308,     107,      55,      13,      13,       0,
Pembroke,02310000,     210,     388,      98,      57,      45,       9,       1,
Pentucket,07450000,     179,     332,      75,      64,      32,       7,       1,
Pioneer Charter School of Science (District),04940000,      75,     149,      23,      31,      20,       1,       0,
Pioneer Charter School of Science II (PCSS-II) (District),35060000,      87,     166,      38,      29,      10,      10,       0,
Pioneer Valley,07500000,      35,      61,      17,      10,       8,       0,       0,
Pioneer Valley Performing Arts Charter Public (District),04790000,       5,,,,,,,
Pittsfield,02360000,     295,     490,     154,      91,      46,       4,       0,
Plymouth,02390000,     469,     994,     176,     137,     108,      29,      19,
Prospect Hill Academy Charter (District),04870000,      48,      70,      34,       8,       5,       0,       1,
Quabbin,07530000,     107,     164,      63,      33,       9,       2,       0,
Quaboag Regional,07780000,     126,     199,      75,      30,      20,       1,       0,
Quincy,02430000,     305,     570,     148,      81,      52,      17,       7,
Ralph C Mahar,07550000,      37,      65,      20,      10,       5,       1,       1,
Randolph,02440000,      93,     156,      50,      24,      18,       1,       0,
Reading,02460000,     201,     326,     124,      49,      13,      12,       3,
Revere,02480000,     240,     358,     143,      78,      17,       2,       0,
Rising Tide Charter Public (District),04830000,      16,      25,       9,       5,       2,       0,       0,
Rockland,02510000,      72,     117,      41,      18,      12,       1,       0,
Rockport,02520000,      65,     147,      23,      15,      16,       9,       2,
Roxbury Preparatory Charter (District),04840000,     389,     892,     184,      53,      60,      45,      47,
Sabis International Charter (District),04410000,      48,      71,      27,      19,       2,       0,       0,
Salem,02580000,      59,     132,      28,      11,       9,       5,       6,
Salem Academy Charter (District),04850000,     110,     241,      42,      26,      25,      13,       4,
Sandwich,02610000,     174,     290,      81,      70,      23,       0,       0,
Saugus,02620000,     103,     178,      50,      35,      14,       4,       0,
Scituate,02640000,     256,     516,      99,      82,      52,      18,       5,
Seekonk,02650000,     149,     281,      64,      52,      23,       7,       3,
Sharon,02660000,     317,     670,     120,     111,      40,      29,      17,
Shawsheen Valley Regional Vocational Technical,08710000,       1,,,,,,,
Shrewsbury,02710000,     393,     852,     136,     115,      93,      40,       9,
Silver Lake,07600000,     199,     389,      70,      84,      34,       6,       5,
Sizer School: A North Central Charter Essential (District),04740000,      24,      27,      21,       3,       0,       0,       0,
Somerset Berkley Regional School District,07630000,     228,     461,     100,      58,      43,      21,       6,
Somerville,02740000,     260,     458,     148,      55,      33,      19,       5,
South Hadley,02780000,     109,     200,      49,      35,      19,       6,       0,
South Middlesex Regional Vocational Technical,08290000,      44,      76,      22,      16,       3,       2,       1,
South Shore Charter Public (District),04880000,      81,     118,      51,      24,       5,       1,       0,
South Shore Regional Vocational Technical,08730000,       3,,,,,,,
Southbridge,02770000,      42,      75,      19,      14,       8,       1,       0,
Southeastern Regional Vocational Technical,08720000,      76,      88,      67,       6,       3,       0,       0,
Southern Berkshire,07650000,      26,      37,      15,      11,       0,       0,       0,
Southern Worcester County Regional Vocational Technical,08760000,     106,     170,      59,      32,      13,       2,       0,
Southwick-Tolland-Granville Regional School District,07660000,      67,      91,      46,      18,       3,       0,       0,
Spencer-E Brookfield,07670000,      20,      48,       2,      10,       6,       2,       0,
Springfield,02810000,     561,     975,     299,     152,      77,      24,       9,
Stoneham,02840000,     124,     213,      68,      36,      12,       6,       2,
Stoughton,02850000,     123,     242,      51,      37,      23,      12,       0,
Sutton,02900000,     131,     208,      75,      36,      19,       1,       0,
Swampscott,02910000,     189,     439,      62,      49,      48,      19,      11,
Swansea,02920000,     109,     199,      47,      41,      15,       5,       1,
TEC Connections Academy Commonwealth Virtual School District,39020000,      45,      73,      27,      11,       5,       1,       1,
Tantasqua,07700000,     195,     327,     103,      58,      29,       4,       1,
Taunton,02930000,     306,     430,     214,      65,      22,       5,       0,
Tewksbury,02950000,     242,     381,     153,      54,      23,       9,       3,
Tri-County Regional Vocational Technical,08780000,      64,      83,      45,      19,       0,       0,       0,
Triton,07730000,      77,     129,      44,      19,      10,       3,       1,
Tyngsborough,03010000,      91,     131,      56,      30,       5,       0,       0,
Upper Cape Cod Regional Vocational Technical,08790000,      22,      24,      20,       2,       0,       0,       0,
Uxbridge,03040000,      96,     180,      40,      30,      24,       2,       0,
Wachusett,07750000,     366,     651,     197,      85,      60,      17,       7,
Wakefield,03050000,     227,     458,      95,      71,      35,      16,      10,
Walpole,03070000,     200,     405,      90,      49,      39,      12,      10,
Waltham,03080000,     257,     530,      91,      86,      57,      19,       4,
Ware,03090000,      37,      46,      29,       7,       1,       0,       0,
Wareham,03100000,      78,     132,      37,      31,       7,       3,       0,
Watertown,03140000,      96,     150,      56,      29,       8,       3,       0,
Wayland,03150000,     216,     434,      95,      60,      33,      21,       7,
Webster,03160000,      68,     113,      36,      22,       7,       3,       0,
Wellesley,03170000,     405,     837,     173,     101,      81,      33,      17,
West Boylston,03220000,      78,      96,      60,      18,       0,       0,       0,
West Bridgewater,03230000,     108,     177,      59,      30,      18,       1,       0,
West Springfield,03320000,     232,     442,      99,      67,      55,      11,       0,
Westborough,03210000,     288,     543,     137,      82,      42,      21,       6,
Westfield,03250000,     139,     217,      81,      41,      14,       3,       0,
Westford,03260000,     406,     817,     174,     112,      75,      33,      12,
Weston,03300000,     281,     548,     136,      84,      21,      21,      19,
Westport,03310000,      71,     113,      39,      23,       8,       1,       0,
Westwood,03350000,     399,     753,     183,     119,      64,      27,       6,
Weymouth,03360000,     320,     574,     159,      94,      42,      24,       1,
Whitman-Hanson,07800000,     250,     456,     110,      93,      35,       6,       6,
Whittier Regional Vocational Technical,08850000,      25,      25,      25,       0,       0,       0,       0,
Wilmington,03420000,     237,     456,      99,      85,      33,      15,       5,
Winchendon,03430000,      17,      30,       5,      11,       1,       0,       0,
Winchester,03440000,     349,     808,     141,      74,      57,      48,      29,
Winthrop,03460000,     150,     335,      52,      24,      62,      11,       1,
Woburn,03470000,     205,     344,     124,      41,      26,      11,       3,
Worcester,03480000,"   1,322","   2,060",     818,     321,     137,      41,       5,
State Totals,00000000,"  51,911","  94,879","  25,586","  14,802","   7,676","   2,805","   1,042",
