District/School Name,District/School Code,African American (#),Asian (#),Hispanic (#),White (#),Native American (#),"Native Hawaiian, Pacific Islander (#)","Multi-Race,Non-Hispanic (#)",Females (#),Males (#),FTE Count
Rowe,02530000,          0.0,          0.0,          1.0,         13.9,          0.0,          0.0,          0.0,         11.7,          3.2,         14.9
Roxbury Preparatory Charter (District),04840000,         26.3,          4.0,         13.0,         86.6,          0.0,          0.0,          9.0,         79.7,         58.1,        138.8
Sabis International Charter (District),04410000,         14.0,          2.0,         15.0,        124.0,          0.0,          0.0,          1.0,        111.0,         45.0,        156.0
Salem,02580000,         10.2,          6.1,         60.5,        643.5,          0.0,          0.0,          1.0,        599.3,        122.0,        721.3
Salem Academy Charter (District),04850000,          3.0,          1.0,         10.0,         58.9,          0.0,          0.0,          0.0,         52.1,         20.8,         72.9
Sandwich,02610000,          0.0,          2.0,          5.0,        357.1,          0.0,          0.0,          1.0,        310.5,         54.6,        365.1
Saugus,02620000,          1.0,          0.0,          6.0,        320.0,          0.0,          1.0,          1.0,        268.4,         60.5,        329.0
Savoy,02630000,          0.0,          0.0,          0.0,         16.5,          0.0,          0.0,          0.0,         14.0,          2.5,         16.5
Scituate,02640000,          2.0,          2.0,          0.0,        407.8,          0.0,          0.6,          1.0,        345.0,         68.4,        413.4
Seekonk,02650000,          3.0,          1.0,          0.0,        292.1,          0.0,          0.0,          3.0,        245.1,         54.0,        299.1
Sharon,02660000,          7.0,         16.2,          3.0,        425.6,          1.0,          1.0,          1.0,        377.3,         77.4,        454.7
Shawsheen Valley Regional Vocational Technical,08710000,          0.0,          2.0,          3.0,        182.5,          0.0,          0.0,          0.0,        110.5,         77.0,        187.5
Sherborn,02690000,          1.1,          0.0,          1.0,         64.1,          0.0,          0.0,          1.0,         64.2,          3.1,         67.2
Shrewsbury,02710000,          8.5,         28.0,         10.8,        781.3,          1.0,          0.0,          6.0,        716.7,        117.9,        835.6
Shutesbury,02720000,          0.0,          1.0,          1.0,         30.4,          0.0,          0.0,          1.0,         31.0,          2.5,         33.4
Silver Lake,07600000,          2.0,          1.0,          0.0,        217.2,          0.0,          0.0,          0.0,        156.2,         64.1,        220.2
Sizer School: A North Central Charter Essential (District),04740000,          1.0,          1.0,          3.9,         56.6,          0.0,          0.0,          0.0,         49.6,         12.9,         62.5
Somerset,02730000,          1.0,          0.0,          0.0,        228.4,          0.0,          0.0,          0.0,        205.0,         24.4,        229.4
Somerset Berkley Regional School District,07630000,          0.0,          1.0,          3.0,        117.1,          0.0,          0.0,          0.0,         80.0,         41.1,        121.1
Somerville,02740000,         35.8,         14.5,         84.1,        634.3,          1.0,          0.0,          9.5,        625.6,        153.7,        779.3
South Hadley,02780000,          0.4,          2.0,          2.0,        262.5,          0.0,          0.0,          0.0,        209.3,         57.6,        266.9
South Middlesex Regional Vocational Technical,08290000,          2.0,          1.0,         15.0,        116.3,          0.0,          0.0,          0.0,         76.3,         58.0,        134.3
South Shore Charter Public (District),04880000,          9.9,          2.0,          1.0,        140.1,          0.0,          0.0,          1.0,        111.3,         42.7,        154.0
South Shore Regional Vocational Technical,08730000,          0.0,          0.0,          1.0,         96.5,          0.0,          0.0,          0.0,         49.2,         48.3,         97.5
Southampton,02750000,          0.0,          0.0,          0.0,         67.9,          0.0,          0.0,          2.0,         61.6,          8.3,         69.9
Southborough,02760000,          0.3,          4.0,          5.0,        211.6,          1.0,          0.0,          0.0,        199.6,         22.3,        221.9
Southbridge,02770000,          7.5,          1.0,         55.1,        279.6,          0.0,          0.0,          1.0,        264.0,         80.2,        344.3
Southeastern Regional Vocational Technical,08720000,         12.5,          4.0,          5.0,        167.8,          0.0,          0.0,          2.0,        115.0,         76.3,        191.3
Southern Berkshire,07650000,          2.0,          2.0,          3.0,        134.9,          1.0,          0.0,          1.0,        111.3,         32.6,        143.9
Southern Worcester County Regional Vocational Technical,08760000,          0.0,          0.0,          2.0,        162.0,          0.0,          0.0,          1.0,         95.0,         70.0,        165.0
Southwick-Tolland-Granville Regional School District,07660000,          0.0,          0.0,          5.0,        222.5,          0.0,          0.0,          2.0,        193.5,         36.0,        229.5
Spencer-E Brookfield,07670000,          0.0,          0.0,          4.0,        194.2,          0.0,          0.0,          0.0,        155.2,         42.9,        198.2
Springfield,02810000,        585.2,         40.5,        611.9,"      2,575.3",          0.0,          3.0,         22.5,"      3,013.7",        824.7,"      3,838.4"
Springfield Preparatory Charter School (District),35100000,          6.0,          1.0,         10.0,         33.4,          0.0,          1.0,          0.0,         45.4,          5.0,         51.4
Stoneham,02840000,          1.0,          3.0,          1.0,        362.9,          0.0,          0.0,          1.0,        295.9,         73.0,        368.9
Stoughton,02850000,          8.1,          3.9,          4.9,        452.7,          1.0,          2.0,          2.1,        394.9,         79.7,        474.6
Sturbridge,02870000,          0.0,          0.0,          1.0,        128.9,          0.0,          0.0,          0.0,        121.7,          8.2,        129.9
Sturgis Charter Public (District),04890000,          1.0,          1.0,          5.5,        140.7,          0.0,          0.0,          0.0,        103.1,         45.1,        148.2
Sudbury,02880000,          6.0,          4.0,         11.9,        375.0,          0.0,          0.0,          5.6,        340.4,         62.1,        402.5
Sunderland,02890000,          0.0,          3.0,          1.0,         58.5,          0.0,          0.0,          0.0,         51.5,         11.0,         62.5
Sutton,02900000,          2.0,          0.0,          0.0,        201.6,          0.0,          0.0,          0.0,        163.4,         40.3,        203.6
Swampscott,02910000,          4.0,          1.0,          7.0,        306.3,          0.0,          0.0,          3.0,        267.1,         54.2,        321.3
Swansea,02920000,          1.0,          1.0,          1.1,        246.5,          0.0,          0.0,          0.0,        183.5,         66.1,        249.6
TEC Connections Academy Commonwealth Virtual School District,39020000,          2.0,          7.0,          5.0,        137.6,          0.0,          0.0,          0.0,        111.7,         39.9,        151.6
Tantasqua,07700000,          1.4,          0.0,          2.8,        211.3,          0.0,          0.0,          1.0,        149.4,         66.2,        216.5
Taunton,02930000,         17.0,          6.0,         19.5,        853.5,          0.0,          0.0,          2.0,        736.7,        161.2,        898.0
Tewksbury,02950000,          2.5,          9.0,         12.0,        464.5,          0.0,          0.0,          0.0,        404.5,         82.5,        488.0
Tisbury,02960000,          1.3,          0.2,          3.4,         70.4,          0.0,          0.0,          1.0,         65.0,         11.3,         76.3
Topsfield,02980000,          0.0,          0.0,          1.8,        105.9,          0.0,          0.0,          0.0,         99.9,          7.8,        107.7
Tri-County Regional Vocational Technical,08780000,          0.0,          1.0,          0.0,        138.2,          0.0,          0.0,          0.0,         84.4,         54.8,        139.2
Triton,07730000,          2.0,          2.0,          0.0,        365.2,          0.0,          0.0,          0.0,        290.9,         78.3,        369.2
Truro,03000000,          0.0,          0.0,          1.0,         31.8,          0.0,          0.0,          0.0,         29.4,          3.4,         32.8
Tyngsborough,03010000,          0.0,          1.0,          3.0,        210.2,          0.0,          0.0,          0.0,        165.7,         48.5,        214.2
UP Academy Charter School of Boston (District),04800000,         15.0,          0.0,          4.0,         34.0,          0.0,          0.0,          0.0,         37.0,         16.0,         53.0
UP Academy Charter School of Dorchester (District),35050000,         19.0,          0.0,          6.0,         47.0,          0.0,          0.0,          0.0,         57.0,         15.0,         72.0
Up-Island Regional,07740000,          0.3,          0.0,          2.4,         87.3,          0.0,          0.0,          1.0,         79.5,         11.5,         91.0
Upper Cape Cod Regional Vocational Technical,08790000,          0.0,          0.0,          0.0,        105.7,          1.0,          0.0,          0.0,         41.2,         65.5,        106.7
Uxbridge,03040000,          0.0,          1.0,          0.0,        239.0,          0.0,          0.0,          0.0,        200.6,         39.4,        240.0
Veritas Preparatory Charter School (District),04980000,         14.0,          1.0,          6.0,         35.5,          0.0,          0.0,          1.0,         45.5,         12.0,         57.5
Wachusett,07750000,          3.0,          1.0,          4.0,        862.7,          0.0,          1.0,          0.0,        721.6,        150.2,        871.7
Wakefield,03050000,          1.0,          3.0,          3.0,        449.9,          1.0,          0.0,          1.0,        365.5,         93.4,        458.9
Wales,03060000,          0.0,          0.0,          0.0,         22.5,          0.0,          0.0,          1.0,         21.1,          2.5,         23.5
Walpole,03070000,          0.0,          3.5,          5.8,        494.0,          0.0,          0.0,          0.5,        415.9,         87.9,        503.8
Waltham,03080000,         18.2,         17.6,         59.3,        775.6,          0.0,          2.0,          6.0,        701.0,        177.7,        878.7
Ware,03090000,          1.0,          0.0,          6.0,        165.7,          0.0,          0.0,          0.0,        138.7,         34.0,        172.7
Wareham,03100000,          3.9,          0.0,          0.0,        305.7,          0.0,          0.0,          8.9,        264.4,         54.1,        318.5
Watertown,03140000,          4.0,          3.0,         39.5,        399.1,          0.0,          0.0,          3.0,        342.3,        106.3,        448.6
Wayland,03150000,         11.0,         13.0,         19.3,        416.2,          0.0,          0.0,          2.0,        372.1,         89.4,        461.5
Webster,03160000,          4.0,          0.0,          2.0,        247.8,          0.0,          0.0,          1.0,        215.6,         39.2,        254.8
Wellesley,03170000,         20.1,         21.2,         26.3,        783.5,          0.0,          0.0,         12.3,        692.5,        170.8,        863.4
Wellfleet,03180000,          0.0,          0.0,          0.0,         29.4,          0.0,          0.0,          0.0,         26.9,          2.5,         29.4
West Boylston,03220000,          1.0,          0.0,          2.0,        139.4,          0.0,          0.0,          0.0,        115.0,         27.4,        142.4
West Bridgewater,03230000,          0.0,          0.0,          1.0,        153.6,          0.0,          0.0,          2.0,        128.8,         27.8,        156.6
West Springfield,03320000,          5.0,          3.0,         12.0,        588.7,          0.0,          1.0,          0.0,        495.4,        114.3,        609.7
Westborough,03210000,          5.0,         17.2,          5.0,        557.8,          0.0,          1.0,          1.8,        484.4,        103.4,        587.8
Westfield,03250000,          9.0,          5.0,          8.0,        700.9,          2.0,          0.0,          1.0,        587.1,        138.8,        726.0
Westford,03260000,          2.0,         15.8,          6.0,        617.1,          0.0,          0.0,          1.0,        538.3,        103.6,        641.9
Westhampton,03270000,          0.0,          0.0,          0.0,         26.0,          0.0,          0.0,          0.0,         22.7,          3.3,         26.0
Weston,03300000,          7.7,         16.4,         12.3,        340.1,          0.0,          0.0,          1.0,        283.7,         93.8,        377.5
Westport,03310000,          0.0,          0.0,          0.0,        222.1,          0.0,          0.0,          0.0,        185.0,         37.1,        222.1
Westwood,03350000,          7.0,          8.6,         10.0,        450.6,          0.0,          0.0,          2.8,        382.3,         96.7,        479.0
Weymouth,03360000,          4.0,          8.0,          6.0,        800.0,          1.0,          1.0,          1.0,        643.6,        177.4,        821.0
Whately,03370000,          0.0,          0.0,          0.0,         34.4,          0.0,          0.0,          0.0,         32.6,          1.8,         34.4
Whitman-Hanson,07800000,          3.9,          0.9,          3.9,        435.3,          0.0,          0.0,          0.0,        358.0,         85.9,        444.0
Whittier Regional Vocational Technical,08850000,          0.8,          0.0,          1.0,        135.3,          0.0,          0.0,          0.0,         73.8,         63.3,        137.0
Williamsburg,03400000,          0.0,          0.0,          0.0,         29.5,          0.0,          0.0,          0.0,         26.2,          3.3,         29.5
Wilmington,03420000,          0.5,          5.0,          3.0,        442.8,          1.0,          0.0,          2.0,        377.7,         76.6,        454.3
Winchendon,03430000,          2.0,          0.0,          2.0,        150.0,          0.0,          1.0,          0.0,        135.0,         20.0,        155.0
Winchester,03440000,          4.0,          3.8,          4.0,        566.4,          0.0,          0.0,          0.9,        474.8,        103.5,        579.1
Winthrop,03460000,          0.0,          4.0,          1.0,        256.2,          0.0,          0.0,          0.0,        206.4,         54.7,        261.2
Woburn,03470000,          4.9,          4.8,         10.0,        606.9,          1.0,          1.0,          0.0,        506.6,        122.0,        628.6
Worcester,03480000,        151.8,         56.0,        381.0,"      3,089.3",          0.0,          7.0,          0.0,"      2,956.2",        728.8,"      3,685.1"
Worthington,03490000,          0.0,          0.0,          0.0,         15.9,          0.0,          0.0,          0.0,         13.9,          2.0,         15.9
Wrentham,03500000,          0.0,          2.0,          0.6,        153.4,          0.0,          0.0,          0.0,        144.1,         11.9,        156.0
State Totals,00000000,"      6,273.5","      2,291.3","      6,734.3","    120,120.9",        133.6,         79.4,        716.7,"    108,536.1","     27,782.9","    136,349.7"
